,model,lnL,AIC,AICc,timing,tree.no,delta,w
63,OUMA,204.4736676,-396.9473353,-396.5789142,OUMA 54.2612411647506,6,9.90076090000002,0.00225981855008469
64,OUMV,204.2555144,-396.5110288,-396.1426078,OUMV 51.6594583767724,6,10.3370673,0.00181689921939013
65,OUMVA,205.009307,-396.0186139,-395.5252219,OUMVA 61.8647648837877,6,10.9544532,0.00133434211480407
66,fit_env,203.381856634611,-400.763713269222,-400.659817165326,NA,6,5.81985793467402,0.0173872295899861
67,EB,209.2399413,-410.4798825,-410.3059695,EB6,7,0,0.567934124959067
68,delta,208.020319,-408.0406381,-407.866725,delta6,7,2.43924450000003,0.167734636306426
69,DensDep,198.2013247,-392.4026493,-392.3509252,DensDep6,7,17.9550443,7.16819207003643e-05
70,TS,199.4794006,-392.9588011,-392.8544533,TS 33,7,17.4515162,9.22039170370206e-05
71,TRC,208.4322923,-408.8645847,-408.6899122,TRC 42,7,1.61605730000002,0.253148629549505
72,SRC,203.3718888,-400.7437775,-400.6394297,SRC 112,7,9.66653980000001,0.00452101051810998
73,OUS,198.8038505,-387.6077009,-387.3456922,OUS 54.4822546163106,7,22.9602773,5.86863497256048e-06
74,OUMA,198.6271651,-385.2543302,-384.8859092,OUMA 56.0907038679414,7,25.4200603,1.71554457008609e-06
75,OUMV,206.6835683,-401.3671365,-400.9987155,OUMV 51.9585757336367,7,9.307254,0.00541069978521593
76,OUMVA,206.0976429,-398.1952857,-397.7018936,OUMVA 51.647263536946,7,12.6040759,0.00104077693258306
77,fit_env,198.609768844157,-391.219537688314,-391.115641584418,NA,7,19.190327915582,3.86519318126985e-05
78,EB,211.4990391,-414.9980783,-414.8241653,EB7,8,0,0.454384693621801
79,delta,210.5116163,-413.0232326,-412.8493195,delta7,8,1.97484580000003,0.16927443642635
80,DensDep,206.1470736,-408.2941472,-408.2424231,DensDep7,8,6.58174220000001,0.0169128397507017
81,TS,206.9187722,-407.8375444,-407.7331965,TS 113,8,7.09096879999998,0.0131111076353427
82,TRC,210.6726527,-413.3453054,-413.1706329,TRC 43,8,1.65353240000002,0.198775884598596
83,SRC,209.2078798,-412.4157597,-412.3114119,SRC 113,8,2.51275340000001,0.129355895053149
84,OUS,208.2507036,-406.5014071,-406.2393984,OUS 54.4361192238705,8,8.58476689999998,0.00621248347853477
85,OUMA,208.027707,-404.0554141,-403.686993,OUMA 51.6607689292374,8,11.1371723,0.00173387368906457
86,OUMV,208.663288,-405.3265761,-404.958155,OUMV 53.2810994634936,8,9.86601030000003,0.00327375954361266
87,OUMVA,209.0085642,-404.0171284,-403.5237363,OUMVA 54.4190822487011,8,11.300429,0.00159796298225433
88,fit_env,206.025367392548,-406.050734785096,-405.9468386812,NA,8,8.8773266188,0.00536706322059317
89,EB,210.5095204,-413.0190408,-412.8451278,EB8,9,231.1360068,6.44842775833643e-51
90,delta,326.0775238,-644.1550476,-643.9811346,delta8,9,0,1
91,DensDep,208.6338658,-413.2677317,-413.2160075,DensDep8,9,230.7651271,7.76228067705098e-51
92,TS,209.0193,-412.0386001,-411.9342522,TS 114,9,232.0468824,4.08940115594884e-51
93,TRC,211.2883458,-414.5766916,-414.4020191,TRC 5,9,229.5791155,1.40452181506022e-50
94,SRC,210.4021926,-414.8043851,-414.7000373,SRC 7,9,229.2810973,1.63020536829667e-50
95,OUS,209.0549851,-408.1099701,-407.8479614,OUS 42.8995436505706,9,236.1331732,5.30069654596841e-52
96,OUMA,209.0704968,-406.1409936,-405.7725725,OUMA 43.1306269089716,9,238.2085621,1.87788057220784e-52
97,OUMV,211.6607252,-411.3214503,-410.9530293,OUMV 52.2749388301734,9,233.0281053,2.50374370232165e-51
98,OUMVA,211.1121835,-408.224367,-407.730975,OUMVA 54.0577273273124,9,236.2501596,4.99953563784589e-52
99,fit_env,208.382492658745,-410.76498531749,-410.661089213594,NA,9,233.320045386406,2.16369422353901e-51
100,EB,207.6142799,-407.2285599,-407.0546468,EB9,10,2.1136573,0.148240304606755
101,delta,206.9173615,-405.834723,-405.66081,delta9,10,3.50749409999997,0.0738411553541318
102,DensDep,204.9054129,-405.8108257,-405.7591016,DensDep9,10,3.40920249999999,0.0775607916141422
103,TS,205.7894446,-405.5788893,-405.4745414,TS 115,10,3.69376269999998,0.0672745452348917
104,TRC,207.6691066,-407.3382132,-407.1635408,TRC 11,10,2.00476329999998,0.156535314580576
105,SRC,207.6363259,-409.2726519,-409.1683041,SRC 114,10,0,0.426521717875298
106,OUS,205.9540586,-401.9081172,-401.6461085,OUS 41.9001963448292,10,7.52219559999998,0.0099201246505415
107,OUMA,205.3277528,-398.6555056,-398.2870845,OUMA 44.3228404837583,10,10.8812196,0.00184975553441048
108,OUMV,204.928522,-397.857044,-397.4886229,OUMV 44.6013466549318,10,11.6796812,0.00124088233467106
109,OUMVA,208.1732271,-402.3464542,-401.8530621,OUMVA 41.4977278352901,10,7.31524200000001,0.0110016172728585
110,fit_env,204.839063633385,-403.67812726677,-403.574231162874,NA,10,5.59407293712599,0.0260137909417239
111,EB,204.9333225,-401.8666449,-401.6927319,EB10,11,0,0.787094811859119
112,delta,203.12768,-398.2553599,-398.0814469,delta10,11,3.61128500000001,0.129373842052822
113,DensDep,20.23801366,-36.47602732,-36.42430319,DensDep10,11,365.26842871,3.79311097152013e-80
114,TS,84.98165216,-163.9633043,-163.8589565,TS 34,11,237.8337754,1.78270267654028e-52
115,TRC,202.6905754,-397.3811509,-397.2064784,TRC 71,11,4.48625350000003,0.0835313460880588
116,SRC,121.3280819,-236.6561638,-236.551816,SRC 115,11,165.1409159,1.08675786981553e-36
117,OUS,149.6118955,-289.223791,-288.9617823,OUS 39.6013924375342,11,112.7309496,2.61103308109713e-25
118,OUMA,141.8249466,-271.6498932,-271.2814721,OUMA 43.2067644132311,11,130.4112598,3.78078337985861e-29
119,OUMV,141.7399816,-271.4799632,-271.1115422,OUMV 42.6125750093609,11,130.5811897,3.4728176991882e-29
120,OUMVA,139.8695374,-265.7390748,-265.2456827,OUMVA 45.8234010872556,11,136.4470492,1.8489568672113e-30
121,fit_env,138.670729499196,-271.341458998392,-271.237562894496,NA,11,130.455169005504,3.69868232837836e-29
122,EB,208.8137546,-409.6275091,-409.4535961,EB11,12,0.310409299999947,0.461271592716307
123,delta,177.6918865,-347.3837731,-347.20986,delta11,12,62.5541454,1.405727525724e-14
124,DensDep,180.3006145,-356.601229,-356.5495049,DensDep11,12,53.2145005,1.49961325472738e-12
125,TS,186.3003763,-366.6007525,-366.4964047,TS 35,12,43.2676006999999,2.16731041494662e-10
126,TRC,208.9693389,-409.9386779,-409.7640054,TRC 44,12,0,0.538717684760593
127,SRC,189.7433808,-373.4867615,-373.3824137,SRC 9,12,36.3815917,6.77952042517365e-09
128,OUS,181.2233271,-352.4466541,-352.1846454,OUS 51.8045418096403,12,57.57936,1.69107189906084e-13
129,OUMA,190.4329045,-368.865809,-368.4973879,OUMA 51.5870645043568,12,41.2666175,5.89425742241058e-10
130,OUMV,197.9573142,-383.9146284,-383.5462073,OUMV 50.9344155688769,12,26.2177981,1.09204041500776e-06
131,OUMVA,201.1958921,-388.3917843,-387.8983922,OUMVA 50.5452833126498,12,21.8656132,9.62284863471042e-06
132,fit_env,184.765043144944,-363.530086289888,-363.426190185992,NA,12,46.3378152140079,4.66909281455261e-11
133,EB,207.5363838,-407.0727675,-406.8988545,EB12,13,2.19813529999999,0.121940503560267
134,delta,206.7910129,-405.5820259,-405.4081128,delta12,13,3.68887699999999,0.0578678753106765
135,DensDep,204.8916884,-405.7833768,-405.7316526,DensDep12,13,3.3653372,0.0680288785815167
136,TS,205.9294849,-405.8589698,-405.7546219,TS 116,13,3.3423679,0.0688146700751014
137,TRC,207.784036,-407.5680719,-407.3933995,TRC 111,13,1.70359030000003,0.156148230255295
138,SRC,207.6006688,-409.2013377,-409.0969898,SRC 116,13,0,0.365988129584161
139,OUS,206.6948816,-403.3897633,-403.1277545,OUS 42.6571641366411,13,5.96923530000004,0.0185039320000731
140,OUMA,204.884793,-397.769586,-397.401165,OUMA 53.6124149073192,13,11.6958248,0.00105621155357574
141,OUMV,209.3678362,-406.7356723,-406.3672513,OUMV 53.467145384416,13,2.7297385,0.0934785174539734
142,OUMVA,209.34513,-404.6902601,-404.196868,OUMVA 53.4440359425724,13,4.90012180000002,0.0315805050066941
143,fit_env,204.506795647559,-403.013591295119,-402.909695191223,NA,13,6.18729460877699,0.0165925466186656
144,EB,208.9255404,-409.8510808,-409.6771677,EB13,14,1.01636230000003,0.15797012887109
145,delta,207.1441282,-406.2882565,-406.1143434,delta13,14,4.57918660000001,0.0266021970269603
146,DensDep,207.2911635,-410.582327,-410.5306029,DensDep13,14,0.16292709999999,0.242044975333709
147,TS,207.4224366,-408.8448733,-408.7405255,TS 117,14,1.95300450000002,0.0988975887234451
148,TRC,208.8089245,-409.6178489,-409.4431764,TRC 72,14,1.25035359999998,0.140528498903481
149,SRC,208.3989389,-410.7978778,-410.69353,SRC 71,14,0,0.26258822147422
150,OUS,206.8995256,-403.7990511,-403.5370424,OUS 40.7494922086515,14,7.15648759999999,0.00733269640735263
151,OUMA,206.7580567,-401.5161134,-401.1476924,OUMA 50.8494093845239,14,9.54583760000003,0.00222035769632416
152,OUMV,206.9841767,-401.9683534,-401.5999323,OUMV 40.8382398856839,14,9.09359770000003,0.00278372026354542
153,OUMVA,207.3338246,-400.6676493,-400.1742572,OUMVA 40.1146118270959,14,10.5192728,0.00136472194880143
154,fit_env,206.882809181338,-407.765618362676,-407.66172225878,NA,14,3.03180774122001,0.0576668933510719
155,EB,210.5157476,-413.0314952,-412.8575821,EB14,15,1.1178577,0.110327221603289
156,delta,209.9854352,-411.9708704,-411.7969573,delta14,15,2.17848250000003,0.0649188671042486
157,DensDep,209.013582,-414.027164,-413.9754398,DensDep14,15,0,0.192940054430043
158,TS,209.3710634,-412.7421267,-412.6377789,TS 118,15,1.3376609,0.0988446169964442
159,TRC,210.0882387,-412.1764774,-412.0018049,TRC 31,15,1.97363489999998,0.0719205539075099
160,SRC,210.0208219,-414.0416438,-413.937296,SRC 72,15,0.0381438000000003,0.189295188743389
161,OUS,210.1678828,-410.3357656,-410.0737569,OUS 56.0845897200444,15,3.90168290000003,0.0274272787197036
162,OUMA,212.3974366,-412.7948732,-412.4264521,OUMA 55.1494808953925,15,1.5489877,0.0889332147388259
163,OUMV,210.7767944,-409.5535887,-409.1851677,OUMV 53.0847582284332,15,4.79027209999998,0.0175884685599263
164,OUMVA,213.115113,-412.2302259,-411.7368338,OUMVA 54.1441179022028,15,2.238606,0.0629963344805869
165,fit_env,209.092215924309,-412.184431848618,-412.080535744722,NA,15,1.894904055278,0.0748082007160335
166,EB,210.5624833,-413.1249666,-412.9510535,EB15,16,0,0.284643238461203
167,delta,209.7591856,-411.5183711,-411.3444581,delta15,16,1.6065954,0.127477375430136
168,DensDep,207.6959287,-411.3918574,-411.3401333,DensDep15,16,1.61092020000001,0.127202016179225
169,TS,208.4521945,-410.9043889,-410.8000411,TS 119,16,2.15101240000001,0.0970989344254683
170,TRC,209.57401,-411.14802,-410.9733475,TRC 51,16,1.97770600000001,0.105888176780884
171,SRC,209.1143933,-412.2287867,-412.1244388,SRC 61,16,0.826614699999993,0.188279818255866
172,OUS,208.5401918,-407.0803835,-406.8183748,OUS 55.7395090259682,16,6.13267869999999,0.0132619263735503
173,OUMA,208.5878977,-405.1757955,-404.8073744,OUMA 53.8407040722066,16,8.14367909999999,0.00485202940400588
174,OUMV,208.9826097,-405.9652194,-405.5967983,OUMV 53.4297146245102,16,7.35425520000001,0.00720020142443022
175,OUMVA,209.3565078,-404.7130155,-404.2196235,OUMVA 55.7244250273218,16,8.73142999999999,0.00361655386433087
176,fit_env,207.577039540899,-409.154079081798,-409.050182977901,NA,16,3.90087052209901,0.0404797294009006
177,EB,207.7790402,-407.5580803,-407.3841673,EB16,17,0,0.3115760208645
178,delta,206.900486,-405.8009721,-405.6270591,delta16,17,1.7571082,0.129423407226005
179,DensDep,203.8009283,-403.6018566,-403.5501325,DensDep16,17,3.83403479999998,0.0458156600960341
180,TS,204.1627611,-402.3255222,-402.2211744,TS 1110,17,5.16299290000001,0.0235740588494392
181,TRC,207.3293323,-406.6586646,-406.4839921,TRC 81,17,0.900175199999978,0.198652239575087
182,SRC,206.469263,-406.938526,-406.8341782,SRC 91,17,0.549989100000005,0.236665749538855
183,OUS,205.2146687,-400.4293374,-400.1673287,OUS 60.9999954225516,17,7.21683860000002,0.00844204059608424
184,OUMA,204.0745289,-396.1490578,-395.7806367,OUMA 48.5038763862756,17,11.6035306,0.000941649698213644
185,OUMV,207.4179461,-402.8358921,-402.4674711,OUMV 48.005882832877,17,4.91669619999999,0.0266634911268521
186,OUMVA,206.0763724,-398.1527448,-397.6593527,OUMVA 50.8505254344134,17,9.7248146,0.00240905861779979
187,fit_env,203.764713566208,-401.529427132415,-401.425531028519,NA,17,5.958636271481,0.0158366238111303
188,EB,211.7084977,-415.4169954,-415.2430824,EB17,18,659.9959376,4.82728689868471e-144
189,delta,541.7064667,-1075.412933,-1075.23902,delta17,18,0,1
190,DensDep,211.4632874,-418.9265748,-418.8748506,DensDep17,18,656.3641694,2.96709570758738e-143
191,TS,211.8856628,-417.7713255,-417.6669777,TS 9,18,657.5720423,1.62197922629553e-143
192,TRC,214.0910828,-420.1821656,-420.0074931,TRC 73,18,655.2315269,5.22735204203401e-143
193,SRC,213.6795912,-421.3591823,-421.2548345,SRC 73,18,653.9841855,9.75300602890339e-143
194,OUS,213.1958804,-416.3917608,-416.129752,OUS 63.2373185922803,18,659.109268,7.52040047458329e-144
195,OUMA,212.0764349,-412.1528698,-411.7844488,OUMA 50.8162158850504,18,663.4545712,8.56387593773525e-145
196,OUMV,212.9884859,-413.9769718,-413.6085507,OUMV 50.8580222054993,18,661.6304693,2.13191095853618e-144
197,OUMVA,213.5348102,-413.0696204,-412.5762283,OUMVA 63.0159606068335,18,662.6627917,1.27233976632751e-144
198,fit_env,211.462114113604,-416.924228227208,-416.820332123312,NA,18,658.418687876688,1.06218101950364e-143
199,EB,210.2860953,-412.5721907,-412.3982777,EB18,19,4.25383349999998,0.0379045529297247
200,delta,210.202238,-412.4044759,-412.2305629,delta18,19,4.42154829999998,0.0348556007661969
