1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0.5 to 1.5	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5	1	0.92	0.98	0.99	1	0.5	0.43	0.96	0.5	1	0	0.5	0.98	0.5	0.49	0.5	1	0.97	0.5	0.44	0.5
0.6 to 1.6	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333
0.7 to 1.7	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333	0.666666666666667	0.906666666666667	0.96	0.993333333333333	1	0.333333333333333	0.62	0.64	0.666666666666667	0.966666666666667	0.333333333333333	0.666666666666667	0.986666666666667	0.666666666666667	0.633333333333333	0.666666666666667	0.933333333333333	0.646666666666667	0.666666666666667	0.293333333333333	0.333333333333333
0.8 to 1.8	0.508	0.708	0.584	0.8	0.78	0.4	0.772	0.792	0.8	0.56	0.8	0.948	0.776	0.8	0.532	0.4	0.752	0.736	0.776	0.996	0.788	0.508	0.708	0.584	0.8	0.78	0.4	0.772	0.792	0.8	0.56	0.8	0.948	0.776	0.8	0.532	0.4	0.752	0.736	0.776	0.996	0.788	0.508	0.708	0.584	0.8	0.78	0.4	0.772	0.792	0.8	0.56	0.8	0.948	0.776	0.8	0.532	0.4	0.752	0.736	0.776	0.996	0.788	0.508	0.708	0.584	0.8	0.78	0.4	0.772	0.792	0.8	0.56	0.8	0.948	0.776	0.8	0.532	0.4	0.752	0.736	0.776	0.996	0.788	0.508	0.708	0.584	0.8	0.78	0.4	0.772	0.792	0.8	0.56	0.8	0.948	0.776	0.8	0.532	0.4
0.9 to 1.9	0.546666666666667	0.59	0.626666666666667	0.833333333333333	0.816666666666667	0.493333333333333	0.81	0.826666666666667	0.666666666666667	0.466666666666667	0.833333333333333	0.943333333333333	0.646666666666667	0.833333333333333	0.586666666666667	0.49	0.78	0.77	0.813333333333333	0.83	0.656666666666667	0.546666666666667	0.59	0.626666666666667	0.833333333333333	0.816666666666667	0.493333333333333	0.81	0.826666666666667	0.666666666666667	0.466666666666667	0.833333333333333	0.943333333333333	0.646666666666667	0.833333333333333	0.586666666666667	0.49	0.78	0.77	0.813333333333333	0.83	0.656666666666667	0.546666666666667	0.59	0.626666666666667	0.833333333333333	0.816666666666667	0.493333333333333	0.81	0.826666666666667	0.666666666666667	0.466666666666667	0.833333333333333	0.943333333333333	0.646666666666667	0.833333333333333	0.586666666666667	0.49	0.78	0.77	0.813333333333333	0.83	0.656666666666667	0.546666666666667	0.59	0.626666666666667	0.833333333333333	0.816666666666667	0.493333333333333	0.81	0.826666666666667	0.666666666666667	0.466666666666667	0.833333333333333	0.943333333333333	0.646666666666667	0.833333333333333	0.586666666666667	0.49	0.78	0.77	0.813333333333333	0.83	0.656666666666667	0.546666666666667	0.59	0.626666666666667	0.833333333333333	0.816666666666667	0.493333333333333	0.81	0.826666666666667	0.666666666666667	0.466666666666667	0.833333333333333	0.943333333333333	0.646666666666667	0.833333333333333	0.586666666666667	0.49
1 to 2	0.7	0.642857142857143	0.665714285714286	0.857142857142857	0.802857142857143	0.525714285714286	0.685714285714286	0.694285714285714	0.565714285714286	0.382857142857143	0.857142857142857	0.808571428571429	0.705714285714286	0.994285714285714	0.768571428571429	0.42	0.657142857142857	0.654285714285714	0.834285714285714	0.7	0.42	0.7	0.642857142857143	0.665714285714286	0.857142857142857	0.802857142857143	0.525714285714286	0.685714285714286	0.694285714285714	0.565714285714286	0.382857142857143	0.857142857142857	0.808571428571429	0.705714285714286	0.994285714285714	0.768571428571429	0.42	0.657142857142857	0.654285714285714	0.834285714285714	0.7	0.42	0.7	0.642857142857143	0.665714285714286	0.857142857142857	0.802857142857143	0.525714285714286	0.685714285714286	0.694285714285714	0.565714285714286	0.382857142857143	0.857142857142857	0.808571428571429	0.705714285714286	0.994285714285714	0.768571428571429	0.42	0.657142857142857	0.654285714285714	0.834285714285714	0.7	0.42	0.7	0.642857142857143	0.665714285714286	0.857142857142857	0.802857142857143	0.525714285714286	0.685714285714286	0.694285714285714	0.565714285714286	0.382857142857143	0.857142857142857	0.808571428571429	0.705714285714286	0.994285714285714	0.768571428571429	0.42	0.657142857142857	0.654285714285714	0.834285714285714	0.7	0.42	0.7	0.642857142857143	0.665714285714286	0.857142857142857	0.802857142857143	0.525714285714286	0.685714285714286	0.694285714285714	0.565714285714286	0.382857142857143	0.857142857142857	0.808571428571429	0.705714285714286	0.994285714285714	0.768571428571429	0.42
1.1 to 2.1	0.7175	0.5625	0.5825	0.875	0.8175	0.46	0.725	0.6075	0.495	0.435	0.875	0.8325	0.715	0.87	0.7775	0.4875	0.6975	0.5725	0.8525	0.6125	0.3675	0.7175	0.5625	0.5825	0.875	0.8175	0.46	0.725	0.6075	0.495	0.435	0.875	0.8325	0.715	0.87	0.7775	0.4875	0.6975	0.5725	0.8525	0.6125	0.3675	0.7175	0.5625	0.5825	0.875	0.8175	0.46	0.725	0.6075	0.495	0.435	0.875	0.8325	0.715	0.87	0.7775	0.4875	0.6975	0.5725	0.8525	0.6125	0.3675	0.7175	0.5625	0.5825	0.875	0.8175	0.46	0.725	0.6075	0.495	0.435	0.875	0.8325	0.715	0.87	0.7775	0.4875	0.6975	0.5725	0.8525	0.6125	0.3675	0.7175	0.5625	0.5825	0.875	0.8175	0.46	0.725	0.6075	0.495	0.435	0.875	0.8325	0.715	0.87	0.7775	0.4875
1.2 to 2.2	0.651111111111111	0.56	0.586666666666667	0.777777777777778	0.726666666666667	0.506666666666667	0.751111111111111	0.642222222222222	0.546666666666667	0.486666666666667	0.777777777777778	0.824444444444444	0.742222222222222	0.868888888888889	0.782222222222222	0.542222222222222	0.731111111111111	0.508888888888889	0.76	0.637777777777778	0.382222222222222	0.651111111111111	0.56	0.586666666666667	0.777777777777778	0.726666666666667	0.506666666666667	0.751111111111111	0.642222222222222	0.546666666666667	0.486666666666667	0.777777777777778	0.824444444444444	0.742222222222222	0.868888888888889	0.782222222222222	0.542222222222222	0.731111111111111	0.508888888888889	0.76	0.637777777777778	0.382222222222222	0.651111111111111	0.56	0.586666666666667	0.777777777777778	0.726666666666667	0.506666666666667	0.751111111111111	0.642222222222222	0.546666666666667	0.486666666666667	0.777777777777778	0.824444444444444	0.742222222222222	0.868888888888889	0.782222222222222	0.542222222222222	0.731111111111111	0.508888888888889	0.76	0.637777777777778	0.382222222222222	0.651111111111111	0.56	0.586666666666667	0.777777777777778	0.726666666666667	0.506666666666667	0.751111111111111	0.642222222222222	0.546666666666667	0.486666666666667	0.777777777777778	0.824444444444444	0.742222222222222	0.868888888888889	0.782222222222222	0.542222222222222	0.731111111111111	0.508888888888889	0.76	0.637777777777778	0.382222222222222	0.651111111111111	0.56	0.586666666666667	0.777777777777778	0.726666666666667	0.506666666666667	0.751111111111111	0.642222222222222	0.546666666666667	0.486666666666667	0.777777777777778	0.824444444444444	0.742222222222222	0.868888888888889	0.782222222222222	0.542222222222222
1.3 to 2.3	0.686	0.604	0.528	0.796	0.654	0.548	0.77	0.578	0.492	0.53	0.782	0.742	0.752	0.88	0.75	0.488	0.756	0.458	0.77	0.574	0.438	0.686	0.604	0.528	0.796	0.654	0.548	0.77	0.578	0.492	0.53	0.782	0.742	0.752	0.88	0.75	0.488	0.756	0.458	0.77	0.574	0.438	0.686	0.604	0.528	0.796	0.654	0.548	0.77	0.578	0.492	0.53	0.782	0.742	0.752	0.88	0.75	0.488	0.756	0.458	0.77	0.574	0.438	0.686	0.604	0.528	0.796	0.654	0.548	0.77	0.578	0.492	0.53	0.782	0.742	0.752	0.88	0.75	0.488	0.756	0.458	0.77	0.574	0.438	0.686	0.604	0.528	0.796	0.654	0.548	0.77	0.578	0.492	0.53	0.782	0.742	0.752	0.88	0.75	0.488
1.4 to 2.4	0.586	0.604	0.52	0.696	0.554	0.648	0.87	0.578	0.58	0.598	0.882	0.642	0.652	0.88	0.744	0.488	0.734	0.468	0.762	0.576	0.432	0.586	0.604	0.52	0.696	0.554	0.648	0.87	0.578	0.58	0.598	0.882	0.642	0.652	0.88	0.744	0.488	0.734	0.468	0.762	0.576	0.432	0.586	0.604	0.52	0.696	0.554	0.648	0.87	0.578	0.58	0.598	0.882	0.642	0.652	0.88	0.744	0.488	0.734	0.468	0.762	0.576	0.432	0.586	0.604	0.52	0.696	0.554	0.648	0.87	0.578	0.58	0.598	0.882	0.642	0.652	0.88	0.744	0.488	0.734	0.468	0.762	0.576	0.432	0.586	0.604	0.52	0.696	0.554	0.648	0.87	0.578	0.58	0.598	0.882	0.642	0.652	0.88	0.744	0.488
