timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
-0.5 to 0.5	37	16	3	84	93	65	37	3	79	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44
-0.4 to 0.6	37	16	3	84	93	65	37	3	79	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44	82	63	4	5	55	71	92	58	12	0	56	65	36	12	52	56	75	25	44
-0.3 to 0.7	93	17	26	88	165	97	74	7	79	122	113	92	99	13	1	56	110	103	14	56	57	75	30	50	95	100	7	14	122	113	92	99	13	1	56	110	103	14	56	57	75	30	50	95	100	7	14	122	113	92	99	13	1	56	110	103	14	56	57	75	30	50	95	100	7	14	122	113	92	99	13	1	56	110	103	14	56	57	75	30	50	95	100	7	14	122	113	92	99	13	1	56	110	103	14	56	57	75	30	50
-0.2 to 0.8	138	17	57	121	201	151	79	34	79	123	117	97	126	15	2	58	113	144	19	58	59	117	31	109	141	139	37	23	123	117	97	126	15	2	58	113	144	19	58	59	117	31	109	141	139	37	23	123	117	97	126	15	2	58	113	144	19	58	59	117	31	109	141	139	37	23	123	117	97	126	15	2	58	113	144	19	58	59	117	31	109	141	139	37	23	123	117	97	126	15	2	58	113	144	19	58	59	117	31	109
-0.1 to 0.9	138	17	57	81	201	151	46	34	43	91	83	51	126	15	2	23	113	144	19	19	37	112	31	77	101	139	35	20	91	83	51	126	15	2	23	113	144	19	19	37	112	31	77	101	139	35	20	91	83	51	126	15	2	23	113	144	19	19	37	112	31	77	101	139	35	20	91	83	51	126	15	2	23	113	144	19	19	37	112	31	77	101	139	35	20	91	83	51	126	15	2	23	113	144	19	19	37	112	31	77
0 to 1	143	96	85	139	208	193	51	37	47	98	118	90	133	15	34	69	115	186	53	19	46	123	38	116	141	185	63	68	98	118	90	133	15	34	69	115	186	53	19	46	123	38	116	141	185	63	68	98	118	90	133	15	34	69	115	186	53	19	46	123	38	116	141	185	63	68	98	118	90	133	15	34	69	115	186	53	19	46	123	38	116	141	185	63	68	98	118	90	133	15	34	69	115	186	53	19	46	123	38	116
0.1 to 1.1	190	124	85	150	241	200	126	76	58	108	177	146	201	22	58	71	142	210	58	52	70	123	32	145	175	213	91	112	108	177	146	201	22	58	71	142	210	58	52	70	123	32	145	175	213	91	112	108	177	146	201	22	58	71	142	210	58	52	70	123	32	145	175	213	91	112	108	177	146	201	22	58	71	142	210	58	52	70	123	32	145	175	213	91	112	108	177	146	201	22	58	71	142	210	58	52	70	123	32	145
0.2 to 1.2	229	153	87	212	246	203	126	115	91	169	186	183	211	24	77	82	144	256	74	59	136	167	79	176	176	249	108	147	169	186	183	211	24	77	82	144	256	74	59	136	167	79	176	176	249	108	147	169	186	183	211	24	77	82	144	256	74	59	136	167	79	176	176	249	108	147	169	186	183	211	24	77	82	144	256	74	59	136	167	79	176	176	249	108	147	169	186	183	211	24	77	82	144	256	74	59	136	167	79	176
0.3 to 1.3	233	157	87	213	247	228	126	116	92	169	189	217	229	25	77	98	144	272	81	65	137	204	81	201	178	251	111	148	169	189	217	229	25	77	98	144	272	81	65	137	204	81	201	178	251	111	148	169	189	217	229	25	77	98	144	272	81	65	137	204	81	201	178	251	111	148	169	189	217	229	25	77	98	144	272	81	65	137	204	81	201	178	251	111	148	169	189	217	229	25	77	98	144	272	81	65	137	204	81	201
0.4 to 1.4	233	142	87	211	217	195	125	115	92	151	189	215	229	25	77	98	122	272	78	60	105	183	81	201	178	249	109	146	151	189	215	229	25	77	98	122	272	78	60	105	183	81	201	178	249	109	146	151	189	215	229	25	77	98	122	272	78	60	105	183	81	201	178	249	109	146	151	189	215	229	25	77	98	122	272	78	60	105	183	81	201	178	249	109	146	151	189	215	229	25	77	98	122	272	78	60	105	183	81	201
0.5 to 1.5	247	148	96	254	227	193	173	163	55	159	164	213	209	25	80	101	125	276	78	77	114	162	131	263	155	246	111	185	159	164	213	209	25	80	101	125	276	78	77	114	162	131	263	155	246	111	185	159	164	213	209	25	80	101	125	276	78	77	114	162	131	263	155	246	111	185	159	164	213	209	25	80	101	125	276	78	77	114	162	131	263	155	246	111	185	159	164	213	209	25	80	101	125	276	78	77	114	162	131	263
0.6 to 1.6	320	216	99	257	313	196	217	243	101	166	194	222	297	27	113	120	173	276	86	148	199	201	141	298	169	266	142	252	166	194	222	297	27	113	120	173	276	86	148	199	201	141	298	169	266	142	252	166	194	222	297	27	113	120	173	276	86	148	199	201	141	298	169	266	142	252	166	194	222	297	27	113	120	173	276	86	148	199	201	141	298	169	266	142	252	166	194	222	297	27	113	120	173	276	86	148	199	201	141	298
0.7 to 1.7	303	227	132	288	249	189	225	261	116	102	175	242	297	39	117	124	200	234	104	167	228	262	141	303	172	244	142	249	102	175	242	297	39	117	124	200	234	104	167	228	262	141	303	172	244	142	249	102	175	242	297	39	117	124	200	234	104	167	228	262	141	303	172	244	142	249	102	175	242	297	39	117	124	200	234	104	167	228	262	141	303	172	244	142	249	102	175	242	297	39	117	124	200	234	104	167	228	262	141	303
0.8 to 1.8	265	270	109	257	227	137	238	236	116	108	175	260	298	37	116	138	206	202	99	166	257	241	147	248	126	211	150	242	108	175	260	298	37	116	138	206	202	99	166	257	241	147	248	126	211	150	242	108	175	260	298	37	116	138	206	202	99	166	257	241	147	248	126	211	150	242	108	175	260	298	37	116	138	206	202	99	166	257	241	147	248	126	211	150	242	108	175	260	298	37	116	138	206	202	99	166	257	241	147	248
0.9 to 1.9	265	270	110	291	227	139	283	239	119	144	176	306	333	37	119	158	211	202	99	166	261	241	190	248	166	217	150	277	144	176	306	333	37	119	158	211	202	99	166	261	241	190	248	166	217	150	277	144	176	306	333	37	119	158	211	202	99	166	261	241	190	248	166	217	150	277	144	176	306	333	37	119	158	211	202	99	166	261	241	190	248	166	217	150	277	144	176	306	333	37	119	158	211	202	99	166	261	241	190	248
1 to 2	289	194	93	235	255	103	317	236	120	171	150	272	327	37	112	114	238	171	87	186	255	235	190	241	169	176	125	258	171	150	272	327	37	112	114	238	171	87	186	255	235	190	241	169	176	125	258	171	150	272	327	37	112	114	238	171	87	186	255	235	190	241	169	176	125	258	171	150	272	327	37	112	114	238	171	87	186	255	235	190	241	169	176	125	258	171	150	272	327	37	112	114	238	171	87	186	255	235	190	241
1.1 to 2.1	249	165	129	231	251	97	243	224	107	190	121	214	244	29	114	136	221	178	91	157	252	279	195	239	172	205	111	252	190	121	214	244	29	114	136	221	178	91	157	252	279	195	239	172	205	111	252	190	121	214	244	29	114	136	221	178	91	157	252	279	195	239	172	205	111	252	190	121	214	244	29	114	136	221	178	91	157	252	279	195	239	172	205	111	252	190	121	214	244	29	114	136	221	178	91	157	252	279	195	239
