timing	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100
-0.5 to 0.5	0	33	0	0	0	0	0	0	26	0	0	19	36	29	0	3	0	0	0	34	0	9	0	0	42	0	0	0	0	0	0	43	0	1	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	35	1	0	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0
-0.4 to 0.6	0	33	0	0	0	0	0	0	26	0	0	19	36	29	0	3	0	0	0	34	0	9	0	0	42	0	0	0	0	0	0	43	0	1	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	35	1	0	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0
-0.3 to 0.7	0	33	0	0	0	0	0	0	26	0	0	19	36	29	0	3	0	0	0	34	0	9	0	0	42	0	0	0	0	0	0	43	0	1	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	35	1	0	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0
-0.2 to 0.8	0	33	0	0	0	0	0	0	26	0	0	19	36	29	0	3	0	0	0	34	0	9	0	0	42	0	0	0	0	0	0	43	0	1	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	35	1	0	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0
-0.1 to 0.9	0	33	0	0	0	0	0	0	26	0	0	19	36	29	0	3	0	0	0	34	0	9	0	0	42	0	0	0	0	0	0	43	0	1	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	35	1	0	0	0	14	0	0	0	40	0	0	0	0	0	0	0	0	0
0 to 1	0	1	0	0	0	0	0	0	0	0	0	0	37	0	21	0	0	0	1	0	25	0	0	15	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	39	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	0	0	24	0	8	0	0	0	0	2	1	0	0	0	0	1	0	1	8	0	0	0	0	0
0.1 to 1.1	0	1	0	0	0	0	0	0	0	0	0	0	37	0	21	0	0	0	1	0	25	0	0	15	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	39	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	0	0	24	0	8	0	0	0	0	2	1	0	0	0	0	1	0	1	8	0	0	0	0	0
0.2 to 1.2	0	1	0	0	0	0	0	0	0	0	0	0	37	0	21	0	0	0	1	0	25	0	0	15	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	39	0	0	0	0	0	0	0	0	2	0	0	0	36	0	0	0	0	0	24	0	8	0	0	0	0	2	1	0	0	0	0	1	0	1	8	0	0	0	0	0
0.3 to 1.3	0	1	0	2	0	2	1	29	31	0	0	0	37	0	42	0	0	0	1	0	25	0	0	15	0	0	25	77	0	0	46	48	0	0	0	0	1	16	0	0	0	1	2	1	8	0	23	0	0	0	40	0	0	0	0	0	12	0	0	39	0	0	0	0	0	0	0	0	2	0	0	0	36	3	0	0	0	0	24	0	10	0	0	0	0	2	1	16	0	0	0	1	2	1	8	0	23	0	0	0
0.4 to 1.4	0	1	0	2	0	2	1	29	31	0	0	0	37	0	42	0	0	0	1	0	25	0	0	15	0	0	25	77	0	0	46	48	0	0	0	0	1	16	0	0	0	1	2	1	8	0	23	0	0	0	40	0	0	0	0	0	12	0	0	39	0	0	0	0	0	0	0	0	2	0	0	0	36	3	0	0	0	0	24	0	10	0	0	0	0	2	1	16	0	0	0	1	2	1	8	0	23	0	0	0
0.5 to 1.5	0	3	0	2	25	2	1	29	69	0	0	0	37	9	42	0	0	0	28	0	51	0	0	15	32	21	25	77	0	13	46	48	32	0	0	17	15	16	0	0	0	1	2	1	8	2	23	19	0	0	40	0	0	0	0	0	12	0	0	39	0	1	0	31	0	1	27	0	2	1	0	0	36	3	1	0	0	22	42	38	10	0	0	0	0	2	15	16	0	0	0	1	2	1	8	2	23	19	0	0
