timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
0.5 to 1.5	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400
0.6 to 1.6	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650
0.7 to 1.7	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800
0.8 to 1.8	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700
0.9 to 1.9	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750
1 to 2	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750
1.1 to 2.1	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700
1.2 to 2.2	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700
1.3 to 2.3	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800
1.4 to 2.4	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950
1.5 to 2.5	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900
1.6 to 2.6	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700
1.7 to 2.7	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750
1.8 to 2.8	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650
1.9 to 2.9	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600	1600
2 to 3	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650
2.1 to 3.1	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700
2.2 to 3.2	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650	1650
2.3 to 3.3	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550
2.4 to 3.4	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500
2.5 to 3.5	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750	1750
2.6 to 3.6	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850
2.7 to 3.7	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850	1850
2.8 to 3.8	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2.9 to 3.9	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300
3 to 4	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250
3.1 to 4.1	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250	2250
3.2 to 4.2	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300	2300
3.3 to 4.3	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400
3.4 to 4.4	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350
3.5 to 4.5	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150
3.6 to 4.6	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350
3.7 to 4.7	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350	2350
3.8 to 4.8	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450	2450
3.9 to 4.9	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200
