1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0.9 to 1.9	466	450	572	352	429	603	495	370	396	418	550	323	393	688	493	400	613	592	562	481	383	451	333	402	460	401	454	415	418	550	323	393	688	493	400	613	592	562	481	383	451	333	402	460	401	454	415	418	550	323	393	688	493	400	613	592	562	481	383	451	333	402	460	401	454	415	418	550	323	393	688	493	400	613	592	562	481	383	451	333	402	460	401	454	415	418	550	323	393	688	493	400	613	592	562	481	383	451	333	402
1 to 2	444	510	548	417	398	614	429	405	411	368	533	321	384	654	452	418	589	619	550	431	422	463	302	362	458	475	460	412	368	533	321	384	654	452	418	589	619	550	431	422	463	302	362	458	475	460	412	368	533	321	384	654	452	418	589	619	550	431	422	463	302	362	458	475	460	412	368	533	321	384	654	452	418	589	619	550	431	422	463	302	362	458	475	460	412	368	533	321	384	654	452	418	589	619	550	431	422	463	302	362
1.1 to 2.1	386	529	437	402	334	545	446	337	379	301	522	323	404	603	425	324	490	566	544	385	368	316	256	348	419	417	434	384	301	522	323	404	603	425	324	490	566	544	385	368	316	256	348	419	417	434	384	301	522	323	404	603	425	324	490	566	544	385	368	316	256	348	419	417	434	384	301	522	323	404	603	425	324	490	566	544	385	368	316	256	348	419	417	434	384	301	522	323	404	603	425	324	490	566	544	385	368	316	256	348
1.2 to 2.2	350	446	378	364	294	491	296	348	325	301	487	352	352	519	391	269	412	525	495	344	371	296	263	352	317	322	444	336	301	487	352	352	519	391	269	412	525	495	344	371	296	263	352	317	322	444	336	301	487	352	352	519	391	269	412	525	495	344	371	296	263	352	317	322	444	336	301	487	352	352	519	391	269	412	525	495	344	371	296	263	352	317	322	444	336	301	487	352	352	519	391	269	412	525	495	344	371	296	263	352
1.3 to 2.3	430	539	446	427	310	544	343	406	352	327	546	409	413	648	508	306	463	604	569	444	397	338	350	381	308	377	501	342	327	546	409	413	648	508	306	463	604	569	444	397	338	350	381	308	377	501	342	327	546	409	413	648	508	306	463	604	569	444	397	338	350	381	308	377	501	342	327	546	409	413	648	508	306	463	604	569	444	397	338	350	381	308	377	501	342	327	546	409	413	648	508	306	463	604	569	444	397	338	350	381
1.4 to 2.4	467	587	450	473	324	581	358	407	374	327	582	428	430	688	545	309	501	604	597	444	415	383	350	407	355	406	538	346	327	582	428	430	688	545	309	501	604	597	444	415	383	350	407	355	406	538	346	327	582	428	430	688	545	309	501	604	597	444	415	383	350	407	355	406	538	346	327	582	428	430	688	545	309	501	604	597	444	415	383	350	407	355	406	538	346	327	582	428	430	688	545	309	501	604	597	444	415	383	350	407
1.5 to 2.5	426	462	394	434	264	485	258	354	300	262	441	348	304	588	417	235	450	501	466	402	331	265	323	378	277	361	425	246	262	441	348	304	588	417	235	450	501	466	402	331	265	323	378	277	361	425	246	262	441	348	304	588	417	235	450	501	466	402	331	265	323	378	277	361	425	246	262	441	348	304	588	417	235	450	501	466	402	331	265	323	378	277	361	425	246	262	441	348	304	588	417	235	450	501	466	402	331	265	323	378
1.6 to 2.6	376	459	251	304	256	360	233	340	289	166	378	227	271	477	368	215	375	351	370	352	309	219	267	319	184	308	348	233	166	378	227	271	477	368	215	375	351	370	352	309	219	267	319	184	308	348	233	166	378	227	271	477	368	215	375	351	370	352	309	219	267	319	184	308	348	233	166	378	227	271	477	368	215	375	351	370	352	309	219	267	319	184	308	348	233	166	378	227	271	477	368	215	375	351	370	352	309	219	267	319
1.7 to 2.7	354	524	281	344	207	366	254	418	341	218	385	231	368	519	357	103	451	260	365	383	291	303	241	278	129	340	314	147	218	385	231	368	519	357	103	451	260	365	383	291	303	241	278	129	340	314	147	218	385	231	368	519	357	103	451	260	365	383	291	303	241	278	129	340	314	147	218	385	231	368	519	357	103	451	260	365	383	291	303	241	278	129	340	314	147	218	385	231	368	519	357	103	451	260	365	383	291	303	241	278
1.8 to 2.8	344	524	301	342	202	351	274	403	322	207	389	228	367	495	361	115	435	253	318	403	311	280	223	282	98	298	319	140	207	389	228	367	495	361	115	435	253	318	403	311	280	223	282	98	298	319	140	207	389	228	367	495	361	115	435	253	318	403	311	280	223	282	98	298	319	140	207	389	228	367	495	361	115	435	253	318	403	311	280	223	282	98	298	319	140	207	389	228	367	495	361	115	435	253	318	403	311	280	223	282
1.9 to 2.9	294	474	261	342	152	350	274	373	298	207	350	228	367	445	324	115	410	203	268	353	277	230	223	232	98	270	269	140	207	350	228	367	445	324	115	410	203	268	353	277	230	223	232	98	270	269	140	207	350	228	367	445	324	115	410	203	268	353	277	230	223	232	98	270	269	140	207	350	228	367	445	324	115	410	203	268	353	277	230	223	232	98	270	269	140	207	350	228	367	445	324	115	410	203	268	353	277	230	223	232
2 to 3	294	438	256	277	200	294	277	286	254	202	331	252	349	420	357	97	389	141	294	337	187	189	201	228	110	201	236	133	202	331	252	349	420	357	97	389	141	294	337	187	189	201	228	110	201	236	133	202	331	252	349	420	357	97	389	141	294	337	187	189	201	228	110	201	236	133	202	331	252	349	420	357	97	389	141	294	337	187	189	201	228	110	201	236	133	202	331	252	349	420	357	97	389	141	294	337	187	189	201	228
2.1 to 3.1	263	388	260	247	208	273	207	240	190	152	315	228	296	420	319	80	368	157	294	282	185	216	186	178	129	223	219	133	152	315	228	296	420	319	80	368	157	294	282	185	216	186	178	129	223	219	133	152	315	228	296	420	319	80	368	157	294	282	185	216	186	178	129	223	219	133	152	315	228	296	420	319	80	368	157	294	282	185	216	186	178	129	223	219	133	152	315	228	296	420	319	80	368	157	294	282	185	216	186	178
