timing	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
0.8 to 1.8	88	53	85	28	12	95	41	16	44	97	42	13	51	43	109	119	57	61	37	1	34	88	53	85	28	12	95	41	16	44	97	42	13	51	43	109	119	57	61	37	1	34	88	53	85	28	12	95	41	16	44	97	42	13	51	43	109	119	57	61	37	1	34	88	53	85	28	12	95	41	16	44	97	42	13	51	43	109	119	57	61	37	1	34	88	53	85	28	12	95	41	16	44	97	42	13	51	43	109	119
0.9 to 1.9	101	99	93	28	12	97	41	16	93	146	42	17	100	43	116	122	61	64	37	51	82	101	99	93	28	12	97	41	16	93	146	42	17	100	43	116	122	61	64	37	51	82	101	99	93	28	12	97	41	16	93	146	42	17	100	43	116	122	61	64	37	51	82	101	99	93	28	12	97	41	16	93	146	42	17	100	43	116	122	61	64	37	51	82	101	99	93	28	12	97	41	16	93	146	42	17	100	43	116	122
1 to 2	86	101	94	42	17	122	88	68	133	186	42	53	98	1	77	147	108	116	37	97	161	86	101	94	42	17	122	88	68	133	186	42	53	98	1	77	147	108	116	37	97	161	86	101	94	42	17	122	88	68	133	186	42	53	98	1	77	147	108	116	37	97	161	86	101	94	42	17	122	88	68	133	186	42	53	98	1	77	147	108	116	37	97	161	86	101	94	42	17	122	88	68	133	186	42	53	98	1	77	147
1.1 to 2.1	94	146	143	42	21	170	88	116	182	195	42	53	109	49	85	149	109	162	38	146	210	94	146	143	42	21	170	88	116	182	195	42	53	109	49	85	149	109	162	38	146	210	94	146	143	42	21	170	88	116	182	195	42	53	109	49	85	149	109	162	38	146	210	94	146	143	42	21	170	88	116	182	195	42	53	109	49	85	149	109	162	38	146	210	94	146	143	42	21	170	88	116	182	195	42	53	109	49	85	149
1.2 to 2.2	127	165	160	80	56	175	90	120	184	198	74	65	110	54	93	150	109	202	78	153	234	127	165	160	80	56	175	90	120	184	198	74	65	110	54	93	150	109	202	78	153	234	127	165	160	80	56	175	90	120	184	198	74	65	110	54	93	150	109	202	78	153	234	127	165	160	80	56	175	90	120	184	198	74	65	110	54	93	150	109	202	78	153	234	127	165	160	80	56	175	90	120	184	198	74	65	110	54	93	150
1.3 to 2.3	127	165	197	82	88	178	93	162	223	202	79	106	118	55	112	195	110	241	85	187	237	127	165	197	82	88	178	93	162	223	202	79	106	118	55	112	195	110	241	85	187	237	127	165	197	82	88	178	93	162	223	202	79	106	118	55	112	195	110	241	85	187	237	127	165	197	82	88	178	93	162	223	202	79	106	118	55	112	195	110	241	85	187	237	127	165	197	82	88	178	93	162	223	202	79	106	118	55	112	195
1.4 to 2.4	171	165	201	125	129	149	55	162	184	177	37	147	162	55	113	196	120	237	89	186	240	171	165	201	125	129	149	55	162	184	177	37	147	162	55	113	196	120	237	89	186	240	171	165	201	125	129	149	55	162	184	177	37	147	162	55	113	196	120	237	89	186	240	171	165	201	125	129	149	55	162	184	177	37	147	162	55	113	196	120	237	89	186	240	171	165	201	125	129	149	55	162	184	177	37	147	162	55	113	196
1.5 to 2.5	187	166	240	129	133	220	80	166	218	178	52	154	163	93	113	196	126	239	139	191	247	187	166	240	129	133	220	80	166	218	178	52	154	163	93	113	196	126	239	139	191	247	187	166	240	129	133	220	80	166	218	178	52	154	163	93	113	196	126	239	139	191	247	187	166	240	129	133	220	80	166	218	178	52	154	163	93	113	196	126	239	139	191	247	187	166	240	129	133	220	80	166	218	178	52	154	163	93	113	196
1.6 to 2.6	140	166	191	129	128	220	80	166	218	174	52	144	114	93	64	147	79	233	135	191	247	140	166	191	129	128	220	80	166	218	174	52	144	114	93	64	147	79	233	135	191	247	140	166	191	129	128	220	80	166	218	174	52	144	114	93	64	147	79	233	135	191	247	140	166	191	129	128	220	80	166	218	174	52	144	114	93	64	147	79	233	135	191	247	140	166	191	129	128	220	80	166	218	174	52	144	114	93	64	147
1.7 to 2.7	182	212	191	129	129	220	83	166	218	212	52	188	119	93	64	152	88	246	143	193	247	182	212	191	129	129	220	83	166	218	212	52	188	119	93	64	152	88	246	143	193	247	182	212	191	129	129	220	83	166	218	212	52	188	119	93	64	152	88	246	143	193	247	182	212	191	129	129	220	83	166	218	212	52	188	119	93	64	152	88	246	143	193	247	182	212	191	129	129	220	83	166	218	212	52	188	119	93	64	152
1.8 to 2.8	172	210	159	129	122	185	80	152	218	160	52	185	119	93	54	129	78	196	112	193	213	172	210	159	129	122	185	80	152	218	160	52	185	119	93	54	129	78	196	112	193	213	172	210	159	129	122	185	80	152	218	160	52	185	119	93	54	129	78	196	112	193	213	172	210	159	129	122	185	80	152	218	160	52	185	119	93	54	129	78	196	112	193	213	172	210	159	129	122	185	80	152	218	160	52	185	119	93	54	129
1.9 to 2.9	185	166	152	129	144	183	81	152	178	121	54	210	76	101	47	130	74	193	117	145	165	185	166	152	129	144	183	81	152	178	121	54	210	76	101	47	130	74	193	117	145	165	185	166	152	129	144	183	81	152	178	121	54	210	76	101	47	130	74	193	117	145	165	185	166	152	129	144	183	81	152	178	121	54	210	76	101	47	130	74	193	117	145	165	185	166	152	129	144	183	81	152	178	121	54	210	76	101	47	130
2 to 3	178	179	186	88	144	162	34	131	139	80	85	177	102	100	71	135	66	142	129	99	86	178	179	186	88	144	162	34	131	139	80	85	177	102	100	71	135	66	142	129	99	86	178	179	186	88	144	162	34	131	139	80	85	177	102	100	71	135	66	142	129	99	86	178	179	186	88	144	162	34	131	139	80	85	177	102	100	71	135	66	142	129	99	86	178	179	186	88	144	162	34	131	139	80	85	177	102	100	71	135
2.1 to 3.1	173	168	142	93	141	114	71	88	117	74	112	181	94	55	65	135	65	102	128	52	77	173	168	142	93	141	114	71	88	117	74	112	181	94	55	65	135	65	102	128	52	77	173	168	142	93	141	114	71	88	117	74	112	181	94	55	65	135	65	102	128	52	77	173	168	142	93	141	114	71	88	117	74	112	181	94	55	65	135	65	102	128	52	77	173	168	142	93	141	114	71	88	117	74	112	181	94	55	65	135
2.2 to 3.2	182	195	167	55	107	109	70	120	160	117	80	178	136	50	66	137	109	64	136	91	98	182	195	167	55	107	109	70	120	160	117	80	178	136	50	66	137	109	64	136	91	98	182	195	167	55	107	109	70	120	160	117	80	178	136	50	66	137	109	64	136	91	98	182	195	167	55	107	109	70	120	160	117	80	178	136	50	66	137	109	64	136	91	98	182	195	167	55	107	109	70	120	160	117	80	178	136	50	66	137
2.3 to 3.3	182	195	130	53	75	106	67	78	121	113	75	137	128	49	47	92	108	25	129	57	95	182	195	130	53	75	106	67	78	121	113	75	137	128	49	47	92	108	25	129	57	95	182	195	130	53	75	106	67	78	121	113	75	137	128	49	47	92	108	25	129	57	95	182	195	130	53	75	106	67	78	121	113	75	137	128	49	47	92	108	25	129	57	95	182	195	130	53	75	106	67	78	121	113	75	137	128	49	47	92
