timing	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72	P73	P74	P75	P76	P77	P78	P79	P80	P81	P82	P83	P84	P85	P86	P87	P88	P89	P90	P91	P92	P93	P94	P95	P96	P97	P98	P99	P100
-0.5 to 0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.4 to 0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.3 to 0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2 to 0.8	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
-0.1 to 0.9	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0 to 1	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.1 to 1.1	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.2 to 1.2	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.3 to 1.3	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.4 to 1.4	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.5 to 1.5	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.6 to 1.6	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.7 to 1.7	0	0	0	0	4	0	0	0	13	15	0	1	0	0	0	2	0	10	28	9	0	0	0	0	14	0	25	0	0	0	0	1	21	0	0	7	0	1	8	0	0	0	0	0	0	10	0	0	0	1	0	26	8	0	0	0	0	0	11	12	0	0	13	0	0	7	0	0	19	24	0	0	0	23	8	20	0	1	0	0	0	0	0	0	0	17	0	7	0	7	0	0	0	0	0	0	7	0	17	0
0.8 to 1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9 to 1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 to 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1 to 2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2 to 2.2	0	0	1	0	0	11	0	7	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	19	0	0	19	0	0	0	0	0	38	8	0	0	10	11	0	0	8	3	0	19	0	0	15	0	0	17	0	1	5	0	0	28	16	0	0	0	1	2	0	0	0	0	0	0	1	8	12	0	0	2	0	0	0	0	0	0	1	11	0	0	0	0	0	19	0	0	0	10	0	5	0	30	8	0
1.3 to 2.3	0	0	1	0	0	11	0	7	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	19	0	0	19	0	0	0	0	0	38	8	0	0	10	11	0	0	8	3	0	19	0	0	15	0	0	17	0	1	5	0	0	28	16	0	0	0	1	2	0	0	0	0	0	0	1	8	12	0	0	2	0	0	0	0	0	0	1	11	0	0	0	0	0	19	0	0	0	10	0	5	0	30	8	0
1.4 to 2.4	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
1.5 to 2.5	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
1.6 to 2.6	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
1.7 to 2.7	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
1.8 to 2.8	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
1.9 to 2.9	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
2 to 3	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
2.1 to 3.1	0	0	9	1	0	11	0	7	6	0	13	2	0	1	0	3	0	0	0	0	14	0	12	9	0	26	8	0	19	0	0	0	0	0	38	16	4	0	10	11	9	0	8	9	0	19	15	0	15	0	0	17	0	19	5	1	0	28	24	0	0	0	1	6	0	0	0	0	0	0	14	8	12	0	0	2	0	4	0	0	0	0	1	11	4	0	0	0	0	27	8	0	0	10	5	5	0	35	8	0
2.2 to 3.2	0	0	8	1	0	0	0	0	0	0	13	0	0	1	0	3	0	0	0	0	14	0	12	0	0	7	8	0	0	0	0	0	0	0	0	8	4	0	0	0	9	0	0	6	0	0	15	0	0	0	0	0	0	18	0	1	0	0	8	0	0	0	0	4	0	0	0	0	0	0	13	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	8	8	0	0	0	5	0	0	5	0	0
2.3 to 3.3	0	0	8	1	0	0	0	0	0	0	13	0	0	1	0	3	0	0	0	0	14	0	12	0	0	7	8	0	0	0	0	0	0	0	0	8	4	0	0	0	9	0	0	6	0	0	15	0	0	0	0	0	0	18	0	1	0	0	8	0	0	0	0	4	0	0	0	0	0	0	13	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	8	8	0	0	0	5	0	0	5	0	0
2.4 to 3.4	0	0	0	1	0	0	0	5	4	0	1	0	0	5	0	0	20	1	0	0	0	6	2	0	0	0	0	5	0	6	0	0	0	0	0	2	4	2	0	0	0	4	0	0	3	0	0	3	0	0	3	1	4	0	0	0	3	0	0	0	0	0	0	2	0	0	2	1	0	0	13	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	7
2.5 to 3.5	0	0	0	1	0	0	0	5	4	0	1	0	0	5	0	0	20	1	0	0	0	6	2	0	0	0	0	5	0	6	0	0	0	0	0	2	4	2	0	0	0	4	0	0	3	0	0	3	0	0	3	1	4	0	0	0	3	0	0	0	0	0	0	2	0	0	2	1	0	0	13	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	7
2.6 to 3.6	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
2.7 to 3.7	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
2.8 to 3.8	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
2.9 to 3.9	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
3 to 4	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
3.1 to 4.1	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
3.2 to 4.2	10	0	0	1	0	8	0	5	4	0	22	6	0	5	0	4	20	2	0	0	14	6	2	15	0	0	7	5	0	15	6	9	0	0	0	2	4	2	0	0	0	4	0	0	13	0	1	4	5	2	3	1	4	26	0	10	3	0	14	0	0	1	0	6	1	8	2	15	0	0	15	5	19	0	4	0	0	1	0	0	0	17	0	0	0	8	20	4	14	0	14	0	0	11	1	0	0	0	0	7
3.3 to 4.3	12	27	1	1	0	8	1	5	4	0	22	6	0	5	0	4	20	2	0	0	14	13	2	15	0	0	7	6	0	15	6	9	0	10	0	2	4	3	0	0	8	24	0	0	14	0	1	4	5	2	3	2	9	40	0	10	3	0	14	1	0	1	0	8	1	17	2	15	0	0	15	5	28	2	4	23	0	3	0	0	16	17	0	15	0	8	25	4	19	0	35	0	0	11	1	0	15	0	0	7
3.4 to 4.4	12	27	1	0	0	8	1	0	0	0	21	6	0	0	0	4	0	1	0	0	14	7	0	15	0	0	7	1	0	9	6	9	0	10	0	0	0	1	0	0	8	20	0	0	11	0	1	1	5	2	0	1	5	40	0	10	0	0	14	1	0	1	0	6	1	17	0	14	0	0	2	0	27	2	1	23	0	3	0	0	16	17	0	15	0	8	19	4	19	0	30	0	0	11	1	0	15	0	0	0
3.5 to 4.5	12	27	1	0	0	19	2	0	0	18	21	14	0	0	0	4	0	7	0	15	26	7	0	27	0	9	7	1	8	9	10	9	0	10	0	3	3	1	0	2	37	20	0	0	11	0	15	1	5	3	0	1	22	40	0	11	8	1	18	7	0	1	0	6	1	23	1	14	0	0	2	0	27	2	1	23	10	3	0	0	16	17	11	15	1	8	19	4	20	1	30	0	0	11	1	0	15	0	1	2
