1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0.9 to 1.9	123	109	156	250	233	147	196	225	200	76	250	245	107	250	163	146	139	130	199	225	194	123	109	156	250	233	147	196	225	200	76	250	245	107	250	163	146	139	130	199	225	194	123	109	156	250	233	147	196	225	200	76	250	245	107	250	163	146	139	130	199	225	194	123	109	156	250	233	147	196	225	200	76	250	245	107	250	163	146	139	130	199	225	194	123	109	156	250	233	147	196	225	200	76	250	245	107	250	163	146
1 to 2	162	182	168	300	216	165	188	231	197	80	294	245	201	317	224	146	166	133	274	199	144	162	182	168	300	216	165	188	231	197	80	294	245	201	317	224	146	166	133	274	199	144	162	182	168	300	216	165	188	231	197	80	294	245	201	317	224	146	166	133	274	199	144	162	182	168	300	216	165	188	231	197	80	294	245	201	317	224	146	166	133	274	199	144	162	182	168	300	216	165	188	231	197	80	294	245	201	317	224	146
1.1 to 2.1	200	182	168	350	259	165	237	231	197	120	344	295	239	317	262	194	210	133	323	199	144	200	182	168	350	259	165	237	231	197	120	344	295	239	317	262	194	210	133	323	199	144	200	182	168	350	259	165	237	231	197	120	344	295	239	317	262	194	210	133	323	199	144	200	182	168	350	259	165	237	231	197	120	344	295	239	317	262	194	210	133	323	199	144	200	182	168	350	259	165	237	231	197	120	344	295	239	317	262	194
1.2 to 2.2	205	204	192	350	259	201	280	275	244	160	344	330	287	354	290	243	255	133	323	227	167	205	204	192	350	259	201	280	275	244	160	344	330	287	354	290	243	255	133	323	227	167	205	204	192	350	259	201	280	275	244	160	344	330	287	354	290	243	255	133	323	227	167	205	204	192	350	259	201	280	275	244	160	344	330	287	354	290	243	255	133	323	227	167	205	204	192	350	259	201	280	275	244	160	344	330	287	354	290	243
1.3 to 2.3	243	254	192	371	259	236	316	275	244	204	372	330	309	399	298	243	293	133	365	227	210	243	254	192	371	259	236	316	275	244	204	372	330	309	399	298	243	293	133	365	227	210	243	254	192	371	259	236	316	275	244	204	372	330	309	399	298	243	293	133	365	227	210	243	254	192	371	259	236	316	275	244	204	372	330	309	399	298	243	293	133	365	227	210	243	254	192	371	259	236	316	275	244	204	372	330	309	399	298	243
1.4 to 2.4	193	254	203	321	209	286	366	275	277	216	422	280	259	399	271	243	274	161	351	252	198	193	254	203	321	209	286	366	275	277	216	422	280	259	399	271	243	274	161	351	252	198	193	254	203	321	209	286	366	275	277	216	422	280	259	399	271	243	274	161	351	252	198	193	254	203	321	209	286	366	275	277	216	422	280	259	399	271	243	274	161	351	252	198	193	254	203	321	209	286	366	275	277	216	422	280	259	399	271	243
1.5 to 2.5	217	305	215	369	216	286	405	327	301	271	472	330	333	449	371	308	323	184	351	295	266	217	305	215	369	216	286	405	327	301	271	472	330	333	449	371	308	323	184	351	295	266	217	305	215	369	216	286	405	327	301	271	472	330	333	449	371	308	323	184	351	295	266	217	305	215	369	216	286	405	327	301	271	472	330	333	449	371	308	323	184	351	295	266	217	305	215	369	216	286	405	327	301	271	472	330	333	449	371	308
1.6 to 2.6	217	255	215	319	178	236	355	277	251	230	422	299	333	399	371	308	323	146	307	245	216	217	255	215	319	178	236	355	277	251	230	422	299	333	399	371	308	323	146	307	245	216	217	255	215	319	178	236	355	277	251	230	422	299	333	399	371	308	323	146	307	245	216	217	255	215	319	178	236	355	277	251	230	422	299	333	399	371	308	323	146	307	245	216	217	255	215	319	178	236	355	277	251	230	422	299	333	399	371	308
1.7 to 2.7	217	255	265	369	216	286	395	327	301	230	472	299	363	449	421	345	350	172	328	276	266	217	255	265	369	216	286	395	327	301	230	472	299	363	449	421	345	350	172	328	276	266	217	255	265	369	216	286	395	327	301	230	472	299	363	449	421	345	350	172	328	276	266	217	255	265	369	216	286	395	327	301	230	472	299	363	449	421	345	350	172	328	276	266	217	255	265	369	216	286	395	327	301	230	472	299	363	449	421	345
1.8 to 2.8	174	200	215	269	166	236	349	277	201	224	372	230	312	349	333	295	310	160	278	176	222	174	200	215	269	166	236	349	277	201	224	372	230	312	349	333	295	310	160	278	176	222	174	200	215	269	166	236	349	277	201	224	372	230	312	349	333	295	310	160	278	176	222	174	200	215	269	166	236	349	277	201	224	372	230	312	349	333	295	310	160	278	176	222	174	200	215	269	166	236	349	277	201	224	372	230	312	349	333	295
