timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	lowerCI	upperCI	meanCI
13.6 to 14.6	0.3	0.395	0.265	0.345	0.325	0.16	0.52	0.27	0.245	0.275	0.305	0.345	0.42	0.24	0.215	0.18	0.25	0.265	0.15	0.38	0.34	0.4	0.36	0.36	0.375	0.325	0.37	0.36	0.275	0.305	0.345	0.42	0.24	0.215	0.18	0.25	0.265	0.15	0.38	0.34	0.4	0.36	0.36	0.375	0.325	0.37	0.36	0.275	0.305	0.345	0.42	0.24	0.215	0.18	0.25	0.265	0.15	0.38	0.34	0.4	0.36	0.36	0.375	0.325	0.37	0.36	0.275	0.305	0.345	0.42	0.24	0.215	0.18	0.25	0.265	0.15	0.38	0.34	0.4	0.36	0.36	0.375	0.325	0.37	0.36	0.275	0.305	0.345	0.42	0.24	0.215	0.18	0.25	0.265	0.15	0.38	0.34	0.4	0.36	0.36	0.294213796	0.325186204	0.3097
13.7 to 14.7	0.3	0.3	0.24	0.286666667	0.28	0.18	0.553333333	0.24	0.26	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.281492541	0.314507459	0.298
13.8 to 14.8	0.3	0.3	0.24	0.286666667	0.28	0.18	0.553333333	0.24	0.26	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.281492541	0.314507459	0.298
13.9 to 14.9	0.3	0.3	0.24	0.286666667	0.28	0.18	0.553333333	0.24	0.26	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.281492541	0.314507459	0.298
14 to 15	0.3	0.3	0.24	0.286666667	0.28	0.18	0.553333333	0.24	0.26	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.373333333	0.326666667	0.34	0.333333333	0.293333333	0.313333333	0.34	0.446666667	0.28	0.226666667	0.153333333	0.246666667	0.186666667	0.126666667	0.38	0.28	0.373333333	0.353333333	0.333333333	0.281492541	0.314507459	0.298
14.1 to 15.1	0.38	0.27	0.27	0.25	0.21	0.25	0.49	0.24	0.3	0.28	0.28	0.34	0.43	0.36	0.2	0.12	0.29	0.05	0.12	0.31	0.31	0.38	0.38	0.32	0.38	0.41	0.47	0.34	0.28	0.28	0.34	0.43	0.36	0.2	0.12	0.29	0.05	0.12	0.31	0.31	0.38	0.38	0.32	0.38	0.41	0.47	0.34	0.28	0.28	0.34	0.43	0.36	0.2	0.12	0.29	0.05	0.12	0.31	0.31	0.38	0.38	0.32	0.38	0.41	0.47	0.34	0.28	0.28	0.34	0.43	0.36	0.2	0.12	0.29	0.05	0.12	0.31	0.31	0.38	0.38	0.32	0.38	0.41	0.47	0.34	0.28	0.28	0.34	0.43	0.36	0.2	0.12	0.29	0.05	0.12	0.31	0.31	0.38	0.38	0.32	0.277944238	0.320255762	0.2991
14.2 to 15.2	0.46	0.34	0.36	0.32	0.37	0.11	0.27	0.4	0.3	0.22	0.45	0.38	0.53	0.2	0.28	0.14	0.21	0.21	0.21	0.31	0.24	0.36	0.26	0.36	0.39	0.42	0.32	0.38	0.22	0.45	0.38	0.53	0.2	0.28	0.14	0.21	0.21	0.21	0.31	0.24	0.36	0.26	0.36	0.39	0.42	0.32	0.38	0.22	0.45	0.38	0.53	0.2	0.28	0.14	0.21	0.21	0.21	0.31	0.24	0.36	0.26	0.36	0.39	0.42	0.32	0.38	0.22	0.45	0.38	0.53	0.2	0.28	0.14	0.21	0.21	0.21	0.31	0.24	0.36	0.26	0.36	0.39	0.42	0.32	0.38	0.22	0.45	0.38	0.53	0.2	0.28	0.14	0.21	0.21	0.21	0.31	0.24	0.36	0.26	0.36	0.287764142	0.327635858	0.3077
14.3 to 15.3	0.393333333	0.353333333	0.426666667	0.36	0.346666667	0.166666667	0.266666667	0.413333333	0.32	0.306666667	0.466666667	0.48	0.466666667	0.186666667	0.266666667	0.313333333	0.28	0.193333333	0.266666667	0.346666667	0.32	0.4	0.3	0.34	0.42	0.373333333	0.32	0.373333333	0.306666667	0.466666667	0.48	0.466666667	0.186666667	0.266666667	0.313333333	0.28	0.193333333	0.266666667	0.346666667	0.32	0.4	0.3	0.34	0.42	0.373333333	0.32	0.373333333	0.306666667	0.466666667	0.48	0.466666667	0.186666667	0.266666667	0.313333333	0.28	0.193333333	0.266666667	0.346666667	0.32	0.4	0.3	0.34	0.42	0.373333333	0.32	0.373333333	0.306666667	0.466666667	0.48	0.466666667	0.186666667	0.266666667	0.313333333	0.28	0.193333333	0.266666667	0.346666667	0.32	0.4	0.3	0.34	0.42	0.373333333	0.32	0.373333333	0.306666667	0.466666667	0.48	0.466666667	0.186666667	0.266666667	0.313333333	0.28	0.193333333	0.266666667	0.346666667	0.32	0.4	0.3	0.34	0.32015799	0.35304201	0.3366
14.4 to 15.4	0.28	0.4	0.42	0.38	0.35	0.19	0.26	0.41	0.23	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.345641643	0.382758357	0.3642
14.5 to 15.5	0.28	0.4	0.42	0.38	0.35	0.19	0.26	0.41	0.23	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.45	0.26	0.34	0.4	0.35	0.59	0.5	0.44	0.2	0.25	0.47	0.31	0.28	0.37	0.37	0.34	0.41	0.31	0.35	0.345641643	0.382758357	0.3642
14.6 to 15.6	0.306666667	0.386666667	0.313333333	0.42	0.366666667	0.186666667	0.286666667	0.353333333	0.28	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.332910844	0.364955823	0.348933333
14.7 to 15.7	0.306666667	0.386666667	0.313333333	0.42	0.366666667	0.186666667	0.286666667	0.353333333	0.28	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.332910844	0.364955823	0.348933333
14.8 to 15.8	0.306666667	0.386666667	0.313333333	0.42	0.366666667	0.186666667	0.286666667	0.353333333	0.28	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.413333333	0.28	0.313333333	0.4	0.353333333	0.526666667	0.506666667	0.373333333	0.193333333	0.253333333	0.393333333	0.313333333	0.253333333	0.4	0.346666667	0.326666667	0.373333333	0.293333333	0.366666667	0.332910844	0.364955823	0.348933333
14.9 to 15.9	0.29	0.38	0.315	0.44	0.365	0.235	0.305	0.37	0.275	0.345	0.5	0.48	0.415	0.18	0.215	0.4	0.33	0.305	0.375	0.365	0.37	0.36	0.275	0.35	0.44	0.255	0.34	0.36	0.345	0.5	0.48	0.415	0.18	0.215	0.4	0.33	0.305	0.375	0.365	0.37	0.36	0.275	0.35	0.44	0.255	0.34	0.36	0.345	0.5	0.48	0.415	0.18	0.215	0.4	0.33	0.305	0.375	0.365	0.37	0.36	0.275	0.35	0.44	0.255	0.34	0.36	0.345	0.5	0.48	0.415	0.18	0.215	0.4	0.33	0.305	0.375	0.365	0.37	0.36	0.275	0.35	0.44	0.255	0.34	0.36	0.345	0.5	0.48	0.415	0.18	0.215	0.4	0.33	0.305	0.375	0.365	0.37	0.36	0.275	0.35	0.333124724	0.364475276	0.3488
15 to 16	0.308	0.416	0.28	0.432	0.388	0.284	0.308	0.384	0.308	0.384	0.492	0.456	0.436	0.2	0.26	0.416	0.352	0.328	0.36	0.376	0.4	0.368	0.328	0.356	0.456	0.3	0.368	0.356	0.384	0.492	0.456	0.436	0.2	0.26	0.416	0.352	0.328	0.36	0.376	0.4	0.368	0.328	0.356	0.456	0.3	0.368	0.356	0.384	0.492	0.456	0.436	0.2	0.26	0.416	0.352	0.328	0.36	0.376	0.4	0.368	0.328	0.356	0.456	0.3	0.368	0.356	0.384	0.492	0.456	0.436	0.2	0.26	0.416	0.352	0.328	0.36	0.376	0.4	0.368	0.328	0.356	0.456	0.3	0.368	0.356	0.384	0.492	0.456	0.436	0.2	0.26	0.416	0.352	0.328	0.36	0.376	0.4	0.368	0.328	0.356	0.352399141	0.379360859	0.36588
15.1 to 16.1	0.266666667	0.386666667	0.266666667	0.476666667	0.386666667	0.263333333	0.31	0.363333333	0.33	0.39	0.46	0.436666667	0.363333333	0.183333333	0.226666667	0.396666667	0.326666667	0.306666667	0.346666667	0.363333333	0.366666667	0.38	0.306666667	0.343333333	0.473333333	0.28	0.34	0.356666667	0.39	0.46	0.436666667	0.363333333	0.183333333	0.226666667	0.396666667	0.326666667	0.306666667	0.346666667	0.363333333	0.366666667	0.38	0.306666667	0.343333333	0.473333333	0.28	0.34	0.356666667	0.39	0.46	0.436666667	0.363333333	0.183333333	0.226666667	0.396666667	0.326666667	0.306666667	0.346666667	0.363333333	0.366666667	0.38	0.306666667	0.343333333	0.473333333	0.28	0.34	0.356666667	0.39	0.46	0.436666667	0.363333333	0.183333333	0.226666667	0.396666667	0.326666667	0.306666667	0.346666667	0.363333333	0.366666667	0.38	0.306666667	0.343333333	0.473333333	0.28	0.34	0.356666667	0.39	0.46	0.436666667	0.363333333	0.183333333	0.226666667	0.396666667	0.326666667	0.306666667	0.346666667	0.363333333	0.366666667	0.38	0.306666667	0.343333333	0.334453999	0.362212668	0.348333333
15.2 to 16.2	0.27	0.386666667	0.26	0.493333333	0.386666667	0.276666667	0.333333333	0.35	0.33	0.366666667	0.39	0.423333333	0.346666667	0.203333333	0.243333333	0.376666667	0.406666667	0.34	0.33	0.38	0.416666667	0.38	0.326666667	0.35	0.476666667	0.323333333	0.32	0.346666667	0.366666667	0.39	0.423333333	0.346666667	0.203333333	0.243333333	0.376666667	0.406666667	0.34	0.33	0.38	0.416666667	0.38	0.326666667	0.35	0.476666667	0.323333333	0.32	0.346666667	0.366666667	0.39	0.423333333	0.346666667	0.203333333	0.243333333	0.376666667	0.406666667	0.34	0.33	0.38	0.416666667	0.38	0.326666667	0.35	0.476666667	0.323333333	0.32	0.346666667	0.366666667	0.39	0.423333333	0.346666667	0.203333333	0.243333333	0.376666667	0.406666667	0.34	0.33	0.38	0.416666667	0.38	0.326666667	0.35	0.476666667	0.323333333	0.32	0.346666667	0.366666667	0.39	0.423333333	0.346666667	0.203333333	0.243333333	0.376666667	0.406666667	0.34	0.33	0.38	0.416666667	0.38	0.326666667	0.35	0.341402346	0.365664321	0.353533333
15.3 to 16.3	0.272	0.388	0.2	0.504	0.404	0.276	0.348	0.332	0.324	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.333801973	0.356918027	0.34536
15.4 to 16.4	0.272	0.388	0.2	0.504	0.404	0.276	0.348	0.332	0.324	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.333801973	0.356918027	0.34536
15.5 to 16.5	0.272	0.388	0.2	0.504	0.404	0.276	0.348	0.332	0.324	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.476	0.332	0.32	0.344	0.344	0.368	0.372	0.348	0.212	0.244	0.32	0.404	0.376	0.32	0.372	0.404	0.36	0.316	0.36	0.333801973	0.356918027	0.34536
15.6 to 16.6	0.25	0.395	0.225	0.505	0.405	0.3	0.35	0.355	0.31	0.34	0.36	0.335	0.375	0.22	0.24	0.34	0.425	0.42	0.285	0.39	0.43	0.375	0.33	0.35	0.51	0.335	0.335	0.33	0.34	0.36	0.335	0.375	0.22	0.24	0.34	0.425	0.42	0.285	0.39	0.43	0.375	0.33	0.35	0.51	0.335	0.335	0.33	0.34	0.36	0.335	0.375	0.22	0.24	0.34	0.425	0.42	0.285	0.39	0.43	0.375	0.33	0.35	0.51	0.335	0.335	0.33	0.34	0.36	0.335	0.375	0.22	0.24	0.34	0.425	0.42	0.285	0.39	0.43	0.375	0.33	0.35	0.51	0.335	0.335	0.33	0.34	0.36	0.335	0.375	0.22	0.24	0.34	0.425	0.42	0.285	0.39	0.43	0.375	0.33	0.35	0.338965279	0.365234721	0.3521
15.7 to 16.7	0.248	0.368	0.216	0.488	0.412	0.296	0.348	0.336	0.292	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.32416526	0.35199474	0.33808
15.8 to 16.8	0.248	0.368	0.216	0.488	0.412	0.296	0.348	0.336	0.292	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.464	0.308	0.296	0.328	0.312	0.34	0.34	0.376	0.22	0.208	0.304	0.372	0.388	0.256	0.484	0.36	0.396	0.316	0.372	0.32416526	0.35199474	0.33808
15.9 to 16.9	0.25	0.37	0.19	0.485	0.425	0.275	0.345	0.315	0.3	0.31	0.32	0.325	0.335	0.24	0.235	0.275	0.37	0.37	0.245	0.5	0.325	0.415	0.34	0.39	0.45	0.34	0.265	0.35	0.31	0.32	0.325	0.335	0.24	0.235	0.275	0.37	0.37	0.245	0.5	0.325	0.415	0.34	0.39	0.45	0.34	0.265	0.35	0.31	0.32	0.325	0.335	0.24	0.235	0.275	0.37	0.37	0.245	0.5	0.325	0.415	0.34	0.39	0.45	0.34	0.265	0.35	0.31	0.32	0.325	0.335	0.24	0.235	0.275	0.37	0.37	0.245	0.5	0.325	0.415	0.34	0.39	0.45	0.34	0.265	0.35	0.31	0.32	0.325	0.335	0.24	0.235	0.275	0.37	0.37	0.245	0.5	0.325	0.415	0.34	0.39	0.321492516	0.349507484	0.3355
16 to 17	0.21	0.32	0.21	0.49	0.445	0.175	0.375	0.255	0.29	0.26	0.27	0.31	0.395	0.19	0.14	0.22	0.315	0.31	0.265	0.505	0.23	0.395	0.265	0.405	0.395	0.26	0.2	0.38	0.26	0.27	0.31	0.395	0.19	0.14	0.22	0.315	0.31	0.265	0.505	0.23	0.395	0.265	0.405	0.395	0.26	0.2	0.38	0.26	0.27	0.31	0.395	0.19	0.14	0.22	0.315	0.31	0.265	0.505	0.23	0.395	0.265	0.405	0.395	0.26	0.2	0.38	0.26	0.27	0.31	0.395	0.19	0.14	0.22	0.315	0.31	0.265	0.505	0.23	0.395	0.265	0.405	0.395	0.26	0.2	0.38	0.26	0.27	0.31	0.395	0.19	0.14	0.22	0.315	0.31	0.265	0.505	0.23	0.395	0.265	0.405	0.282654483	0.319045517	0.30085
16.1 to 17.1	0.26	0.346666667	0.213333333	0.42	0.466666667	0.18	0.393333333	0.253333333	0.24	0.206666667	0.26	0.3	0.526666667	0.22	0.166666667	0.193333333	0.353333333	0.346666667	0.26	0.573333333	0.24	0.38	0.286666667	0.446666667	0.34	0.286666667	0.2	0.386666667	0.206666667	0.26	0.3	0.526666667	0.22	0.166666667	0.193333333	0.353333333	0.346666667	0.26	0.573333333	0.24	0.38	0.286666667	0.446666667	0.34	0.286666667	0.2	0.386666667	0.206666667	0.26	0.3	0.526666667	0.22	0.166666667	0.193333333	0.353333333	0.346666667	0.26	0.573333333	0.24	0.38	0.286666667	0.446666667	0.34	0.286666667	0.2	0.386666667	0.206666667	0.26	0.3	0.526666667	0.22	0.166666667	0.193333333	0.353333333	0.346666667	0.26	0.573333333	0.24	0.38	0.286666667	0.446666667	0.34	0.286666667	0.2	0.386666667	0.206666667	0.26	0.3	0.526666667	0.22	0.166666667	0.193333333	0.353333333	0.346666667	0.26	0.573333333	0.24	0.38	0.286666667	0.446666667	0.292507886	0.336025447	0.314266667
16.2 to 17.2	0.23	0.31	0.2	0.42	0.5	0.18	0.39	0.23	0.31	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.259902098	0.317697902	0.2888
16.3 to 17.3	0.23	0.31	0.2	0.42	0.5	0.18	0.39	0.23	0.31	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.29	0.18	0.18	0.39	0.27	0.26	0.33	0.57	0.15	0.07	0.21	0.19	0.22	0.26	0.65	0.11	0.4	0.25	0.45	0.259902098	0.317697902	0.2888
