timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	lowerCI	upperCI	meanCI
0.5 to 1.5	0.496666667	0.3	0.25	0.525555556	0.454444444	0.404444444	0.276666667	0.326666667	0.224444444	0.392222222	0.36	0.495555556	0.393333333	0.156666667	0.223333333	0.315555556	0.213333333	0.525555556	0.312222222	0.232222222	0.243333333	0.24	0.301111111	0.588888889	0.377777778	0.507777778	0.38	0.33	0.392222222	0.36	0.495555556	0.393333333	0.156666667	0.223333333	0.315555556	0.213333333	0.525555556	0.312222222	0.232222222	0.243333333	0.24	0.301111111	0.588888889	0.377777778	0.507777778	0.38	0.33	0.392222222	0.36	0.495555556	0.393333333	0.156666667	0.223333333	0.315555556	0.213333333	0.525555556	0.312222222	0.232222222	0.243333333	0.24	0.301111111	0.588888889	0.377777778	0.507777778	0.38	0.33	0.392222222	0.36	0.495555556	0.393333333	0.156666667	0.223333333	0.315555556	0.213333333	0.525555556	0.312222222	0.232222222	0.243333333	0.24	0.301111111	0.588888889	0.377777778	0.507777778	0.38	0.33	0.392222222	0.36	0.495555556	0.393333333	0.156666667	0.223333333	0.315555556	0.213333333	0.525555556	0.312222222	0.232222222	0.243333333	0.24	0.301111111	0.588888889	0.32296596	0.369189595	0.346077778
0.6 to 1.6	0.520952381	0.372380952	0.217142857	0.453333333	0.493333333	0.35047619	0.294285714	0.386666667	0.292380952	0.347619048	0.359047619	0.438095238	0.440952381	0.145714286	0.25047619	0.367619048	0.237142857	0.45047619	0.287619048	0.294285714	0.313333333	0.265714286	0.276190476	0.564761905	0.345714286	0.492380952	0.374285714	0.385714286	0.347619048	0.359047619	0.438095238	0.440952381	0.145714286	0.25047619	0.367619048	0.237142857	0.45047619	0.287619048	0.294285714	0.313333333	0.265714286	0.276190476	0.564761905	0.345714286	0.492380952	0.374285714	0.385714286	0.347619048	0.359047619	0.438095238	0.440952381	0.145714286	0.25047619	0.367619048	0.237142857	0.45047619	0.287619048	0.294285714	0.313333333	0.265714286	0.276190476	0.564761905	0.345714286	0.492380952	0.374285714	0.385714286	0.347619048	0.359047619	0.438095238	0.440952381	0.145714286	0.25047619	0.367619048	0.237142857	0.45047619	0.287619048	0.294285714	0.313333333	0.265714286	0.276190476	0.564761905	0.345714286	0.492380952	0.374285714	0.385714286	0.347619048	0.359047619	0.438095238	0.440952381	0.145714286	0.25047619	0.367619048	0.237142857	0.45047619	0.287619048	0.294285714	0.313333333	0.265714286	0.276190476	0.564761905	0.330100158	0.369271271	0.349685714
0.7 to 1.7	0.484347826	0.387826087	0.273043478	0.487826087	0.412173913	0.332173913	0.302608696	0.446956522	0.324347826	0.250434783	0.332173913	0.466086957	0.445217391	0.219130435	0.28173913	0.384347826	0.283478261	0.370434783	0.32	0.32	0.366086957	0.38173913	0.3	0.535652174	0.32173913	0.459130435	0.330434783	0.351304348	0.250434783	0.332173913	0.466086957	0.445217391	0.219130435	0.28173913	0.384347826	0.283478261	0.370434783	0.32	0.32	0.366086957	0.38173913	0.3	0.535652174	0.32173913	0.459130435	0.330434783	0.351304348	0.250434783	0.332173913	0.466086957	0.445217391	0.219130435	0.28173913	0.384347826	0.283478261	0.370434783	0.32	0.32	0.366086957	0.38173913	0.3	0.535652174	0.32173913	0.459130435	0.330434783	0.351304348	0.250434783	0.332173913	0.466086957	0.445217391	0.219130435	0.28173913	0.384347826	0.283478261	0.370434783	0.32	0.32	0.366086957	0.38173913	0.3	0.535652174	0.32173913	0.459130435	0.330434783	0.351304348	0.250434783	0.332173913	0.466086957	0.445217391	0.219130435	0.28173913	0.384347826	0.283478261	0.370434783	0.32	0.32	0.366086957	0.38173913	0.3	0.535652174	0.340230957	0.371455999	0.355843478
0.8 to 1.8	0.441904762	0.47047619	0.233333333	0.484761905	0.38952381	0.26952381	0.332380952	0.433333333	0.353333333	0.272380952	0.313333333	0.48952381	0.463809524	0.192380952	0.300952381	0.425714286	0.30952381	0.319047619	0.298095238	0.344761905	0.441904762	0.387619048	0.335238095	0.448571429	0.253333333	0.460952381	0.354285714	0.335238095	0.272380952	0.313333333	0.48952381	0.463809524	0.192380952	0.300952381	0.425714286	0.30952381	0.319047619	0.298095238	0.344761905	0.441904762	0.387619048	0.335238095	0.448571429	0.253333333	0.460952381	0.354285714	0.335238095	0.272380952	0.313333333	0.48952381	0.463809524	0.192380952	0.300952381	0.425714286	0.30952381	0.319047619	0.298095238	0.344761905	0.441904762	0.387619048	0.335238095	0.448571429	0.253333333	0.460952381	0.354285714	0.335238095	0.272380952	0.313333333	0.48952381	0.463809524	0.192380952	0.300952381	0.425714286	0.30952381	0.319047619	0.298095238	0.344761905	0.441904762	0.387619048	0.335238095	0.448571429	0.253333333	0.460952381	0.354285714	0.335238095	0.272380952	0.313333333	0.48952381	0.463809524	0.192380952	0.300952381	0.425714286	0.30952381	0.319047619	0.298095238	0.344761905	0.441904762	0.387619048	0.335238095	0.448571429	0.341407603	0.373354302	0.357380952
0.9 to 1.9	0.421818182	0.449090909	0.224545455	0.508181818	0.371818182	0.266363636	0.362727273	0.416363636	0.346363636	0.305454545	0.301818182	0.512727273	0.488181818	0.183636364	0.293636364	0.451818182	0.301818182	0.304545455	0.284545455	0.329090909	0.425454545	0.37	0.365454545	0.428181818	0.287272727	0.446363636	0.338181818	0.365454545	0.305454545	0.301818182	0.512727273	0.488181818	0.183636364	0.293636364	0.451818182	0.301818182	0.304545455	0.284545455	0.329090909	0.425454545	0.37	0.365454545	0.428181818	0.287272727	0.446363636	0.338181818	0.365454545	0.305454545	0.301818182	0.512727273	0.488181818	0.183636364	0.293636364	0.451818182	0.301818182	0.304545455	0.284545455	0.329090909	0.425454545	0.37	0.365454545	0.428181818	0.287272727	0.446363636	0.338181818	0.365454545	0.305454545	0.301818182	0.512727273	0.488181818	0.183636364	0.293636364	0.451818182	0.301818182	0.304545455	0.284545455	0.329090909	0.425454545	0.37	0.365454545	0.428181818	0.287272727	0.446363636	0.338181818	0.365454545	0.305454545	0.301818182	0.512727273	0.488181818	0.183636364	0.293636364	0.451818182	0.301818182	0.304545455	0.284545455	0.329090909	0.425454545	0.37	0.365454545	0.428181818	0.342058134	0.374905503	0.358481818
1 to 2	0.462727273	0.363636364	0.227272727	0.421818182	0.43	0.233636364	0.408181818	0.411818182	0.349090909	0.369090909	0.287272727	0.480909091	0.484545455	0.183636364	0.338181818	0.37	0.344545455	0.270909091	0.310909091	0.374545455	0.404545455	0.363636364	0.387272727	0.435454545	0.301818182	0.367272727	0.299090909	0.377272727	0.369090909	0.287272727	0.480909091	0.484545455	0.183636364	0.338181818	0.37	0.344545455	0.270909091	0.310909091	0.374545455	0.404545455	0.363636364	0.387272727	0.435454545	0.301818182	0.367272727	0.299090909	0.377272727	0.369090909	0.287272727	0.480909091	0.484545455	0.183636364	0.338181818	0.37	0.344545455	0.270909091	0.310909091	0.374545455	0.404545455	0.363636364	0.387272727	0.435454545	0.301818182	0.367272727	0.299090909	0.377272727	0.369090909	0.287272727	0.480909091	0.484545455	0.183636364	0.338181818	0.37	0.344545455	0.270909091	0.310909091	0.374545455	0.404545455	0.363636364	0.387272727	0.435454545	0.301818182	0.367272727	0.299090909	0.377272727	0.369090909	0.287272727	0.480909091	0.484545455	0.183636364	0.338181818	0.37	0.344545455	0.270909091	0.310909091	0.374545455	0.404545455	0.363636364	0.387272727	0.435454545	0.342805288	0.371540166	0.357172727
1.1 to 2.1	0.456	0.298	0.301	0.386	0.459	0.252	0.349	0.451	0.332	0.4	0.264	0.419	0.391	0.185	0.359	0.41	0.341	0.293	0.326	0.347	0.436	0.466	0.427	0.451	0.299	0.426	0.244	0.408	0.4	0.264	0.419	0.391	0.185	0.359	0.41	0.341	0.293	0.326	0.347	0.436	0.466	0.427	0.451	0.299	0.426	0.244	0.408	0.4	0.264	0.419	0.391	0.185	0.359	0.41	0.341	0.293	0.326	0.347	0.436	0.466	0.427	0.451	0.299	0.426	0.244	0.408	0.4	0.264	0.419	0.391	0.185	0.359	0.41	0.341	0.293	0.326	0.347	0.436	0.466	0.427	0.451	0.299	0.426	0.244	0.408	0.4	0.264	0.419	0.391	0.185	0.359	0.41	0.341	0.293	0.326	0.347	0.436	0.466	0.427	0.451	0.348699129	0.378640871	0.36367
1.2 to 2.2	0.462222222	0.288888889	0.314444444	0.33	0.503333333	0.275555556	0.443333333	0.438888889	0.324444444	0.333333333	0.28	0.354444444	0.421111111	0.205555556	0.335555556	0.437777778	0.377777778	0.318888889	0.321111111	0.343333333	0.394444444	0.472222222	0.39	0.44	0.38	0.445555556	0.21	0.395555556	0.333333333	0.28	0.354444444	0.421111111	0.205555556	0.335555556	0.437777778	0.377777778	0.318888889	0.321111111	0.343333333	0.394444444	0.472222222	0.39	0.44	0.38	0.445555556	0.21	0.395555556	0.333333333	0.28	0.354444444	0.421111111	0.205555556	0.335555556	0.437777778	0.377777778	0.318888889	0.321111111	0.343333333	0.394444444	0.472222222	0.39	0.44	0.38	0.445555556	0.21	0.395555556	0.333333333	0.28	0.354444444	0.421111111	0.205555556	0.335555556	0.437777778	0.377777778	0.318888889	0.321111111	0.343333333	0.394444444	0.472222222	0.39	0.44	0.38	0.445555556	0.21	0.395555556	0.333333333	0.28	0.354444444	0.421111111	0.205555556	0.335555556	0.437777778	0.377777778	0.318888889	0.321111111	0.343333333	0.394444444	0.472222222	0.39	0.44	0.347990994	0.376675673	0.362333333
1.3 to 2.3	0.422	0.263	0.3	0.321	0.54	0.258	0.469	0.401	0.302	0.36	0.287	0.324	0.373	0.181	0.305	0.413	0.354	0.25	0.293	0.309	0.42	0.459	0.373	0.451	0.451	0.441	0.243	0.436	0.36	0.287	0.324	0.373	0.181	0.305	0.413	0.354	0.25	0.293	0.309	0.42	0.459	0.373	0.451	0.451	0.441	0.243	0.436	0.36	0.287	0.324	0.373	0.181	0.305	0.413	0.354	0.25	0.293	0.309	0.42	0.459	0.373	0.451	0.451	0.441	0.243	0.436	0.36	0.287	0.324	0.373	0.181	0.305	0.413	0.354	0.25	0.293	0.309	0.42	0.459	0.373	0.451	0.451	0.441	0.243	0.436	0.36	0.287	0.324	0.373	0.181	0.305	0.413	0.354	0.25	0.293	0.309	0.42	0.459	0.373	0.451	0.337253302	0.369146698	0.3532
1.4 to 2.4	0.405714286	0.25047619	0.30952381	0.305714286	0.541904762	0.247619048	0.471428571	0.420952381	0.29047619	0.39047619	0.278095238	0.326666667	0.367619048	0.175238095	0.295238095	0.424761905	0.34	0.285714286	0.283809524	0.337142857	0.416190476	0.44	0.402857143	0.434285714	0.43047619	0.425714286	0.237142857	0.44952381	0.39047619	0.278095238	0.326666667	0.367619048	0.175238095	0.295238095	0.424761905	0.34	0.285714286	0.283809524	0.337142857	0.416190476	0.44	0.402857143	0.434285714	0.43047619	0.425714286	0.237142857	0.44952381	0.39047619	0.278095238	0.326666667	0.367619048	0.175238095	0.295238095	0.424761905	0.34	0.285714286	0.283809524	0.337142857	0.416190476	0.44	0.402857143	0.434285714	0.43047619	0.425714286	0.237142857	0.44952381	0.39047619	0.278095238	0.326666667	0.367619048	0.175238095	0.295238095	0.424761905	0.34	0.285714286	0.283809524	0.337142857	0.416190476	0.44	0.402857143	0.434285714	0.43047619	0.425714286	0.237142857	0.44952381	0.39047619	0.278095238	0.326666667	0.367619048	0.175238095	0.295238095	0.424761905	0.34	0.285714286	0.283809524	0.337142857	0.416190476	0.44	0.402857143	0.434285714	0.338421244	0.369693042	0.354057143
