1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
0.9 to 1.9	170	156	281	189	262	204	206	272	323	346	218	213	170	210	284	203	155	173	225	257	249	242	365	227	324	208	274	283	346	218	213	170	210	284	203	155	173	225	257	249	242	365	227	324	208	274	283	346	218	213	170	210	284	203	155	173	225	257	249	242	365	227	324	208	274	283	346	218	213	170	210	284	203	155	173	225	257	249	242	365	227	324	208	274	283	346	218	213	170	210	284	203	155	173	225	257	249	242	365	227
1 to 2	147	190	302	219	229	229	222	242	305	326	251	250	183	244	276	275	132	183	208	257	233	237	372	259	310	221	311	273	326	251	250	183	244	276	275	132	183	208	257	233	237	372	259	310	221	311	273	326	251	250	183	244	276	275	132	183	208	257	233	237	372	259	310	221	311	273	326	251	250	183	244	276	275	132	183	208	257	233	237	372	259	310	221	311	273	326	251	250	183	244	276	275	132	183	208	257	233	237	372	259
1.1 to 2.1	158	173	262	212	207	203	205	212	289	299	214	258	205	212	216	266	169	141	130	268	196	218	317	201	282	157	322	208	299	214	258	205	212	216	266	169	141	130	268	196	218	317	201	282	157	322	208	299	214	258	205	212	216	266	169	141	130	268	196	218	317	201	282	157	322	208	299	214	258	205	212	216	266	169	141	130	268	196	218	317	201	282	157	322	208	299	214	258	205	212	216	266	169	141	130	268	196	218	317	201
1.2 to 2.2	134	194	239	239	153	161	205	157	283	299	161	229	169	196	207	237	148	88	116	247	174	179	286	152	241	177	267	208	299	161	229	169	196	207	237	148	88	116	247	174	179	286	152	241	177	267	208	299	161	229	169	196	207	237	148	88	116	247	174	179	286	152	241	177	267	208	299	161	229	169	196	207	237	148	88	116	247	174	179	286	152	241	177	267	208	299	161	229	169	196	207	237	148	88	116	247	174	179	286	152
1.3 to 2.3	148	198	254	252	150	198	188	193	346	313	167	267	214	171	187	281	183	146	138	247	183	203	277	168	241	182	256	222	313	167	267	214	171	187	281	183	146	138	247	183	203	277	168	241	182	256	222	313	167	267	214	171	187	281	183	146	138	247	183	203	277	168	241	182	256	222	313	167	267	214	171	187	281	183	146	138	247	183	203	277	168	241	182	256	222	313	167	267	214	171	187	281	183	146	138	247	183	203	277	168
1.4 to 2.4	157	200	275	256	157	209	197	201	371	313	176	279	234	178	195	295	192	146	155	252	198	205	277	187	243	197	263	232	313	176	279	234	178	195	295	192	146	155	252	198	205	277	187	243	197	263	232	313	176	279	234	178	195	295	192	146	155	252	198	205	277	187	243	197	263	232	313	176	279	234	178	195	295	192	146	155	252	198	205	277	187	243	197	263	232	313	176	279	234	178	195	295	192	146	155	252	198	205	277	187
1.5 to 2.5	119	183	197	252	134	205	197	162	322	245	174	270	228	137	176	243	164	108	136	198	146	201	257	174	198	197	231	232	245	174	270	228	137	176	243	164	108	136	198	146	201	257	174	198	197	231	232	245	174	270	228	137	176	243	164	108	136	198	146	201	257	174	198	197	231	232	245	174	270	228	137	176	243	164	108	136	198	146	201	257	174	198	197	231	232	245	174	270	228	137	176	243	164	108	136	198	146	201	257	174
1.6 to 2.6	119	157	193	235	101	184	132	138	288	203	140	255	220	110	137	215	146	108	103	198	128	160	182	146	164	160	209	203	203	140	255	220	110	137	215	146	108	103	198	128	160	182	146	164	160	209	203	203	140	255	220	110	137	215	146	108	103	198	128	160	182	146	164	160	209	203	203	140	255	220	110	137	215	146	108	103	198	128	160	182	146	164	160	209	203	203	140	255	220	110	137	215	146	108	103	198	128	160	182	146
1.7 to 2.7	139	96	150	223	124	141	112	99	244	109	133	194	152	115	107	223	119	124	111	119	84	131	149	163	78	107	201	154	109	133	194	152	115	107	223	119	124	111	119	84	131	149	163	78	107	201	154	109	133	194	152	115	107	223	119	124	111	119	84	131	149	163	78	107	201	154	109	133	194	152	115	107	223	119	124	111	119	84	131	149	163	78	107	201	154	109	133	194	152	115	107	223	119	124	111	119	84	131	149	163
1.8 to 2.8	145	96	140	225	141	139	108	101	249	102	133	208	155	131	103	231	145	134	136	102	104	128	164	150	90	105	239	150	102	133	208	155	131	103	231	145	134	136	102	104	128	164	150	90	105	239	150	102	133	208	155	131	103	231	145	134	136	102	104	128	164	150	90	105	239	150	102	133	208	155	131	103	231	145	134	136	102	104	128	164	150	90	105	239	150	102	133	208	155	131	103	231	145	134	136	102	104	128	164	150
