timing	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100
-0.5 to 0.5	0	52	1	9	63	0	0	0	12	0	0	8	0	4	0	37	9	4	1	10	0	8	0	0	10	0	18	8	0	11	1	0	1	0	34	25	0	0	30	40	9	2	10	16	19	11	68	17	3	0	1	30	30	34	21	30	12	10	0	10	0	10	0	0	0	15	9	1	0	13	42	21	1	13	0	0	0	0	7	0	0	18	25	30	0	15	27	0	0	0	7	0	30	0	39	0	0	7	1	23
-0.4 to 0.6	0	52	1	9	63	0	0	0	12	0	0	8	0	4	0	37	9	4	1	10	0	8	0	0	10	0	18	8	0	11	1	0	1	0	34	25	0	0	30	40	9	2	10	16	19	11	68	17	3	0	1	30	30	34	21	30	12	10	0	10	0	10	0	0	0	15	9	1	0	13	42	21	1	13	0	0	0	0	7	0	0	18	25	30	0	15	27	0	0	0	7	0	30	0	39	0	0	7	1	23
-0.3 to 0.7	0	52	1	9	63	0	0	0	12	0	0	8	0	4	0	37	9	4	1	10	0	8	0	0	10	0	18	8	0	11	1	0	1	0	34	25	0	0	30	40	9	2	10	16	19	11	68	17	3	0	1	30	30	34	21	30	12	10	0	10	0	10	0	0	0	15	9	1	0	13	42	21	1	13	0	0	0	0	7	0	0	18	25	30	0	15	27	0	0	0	7	0	30	0	39	0	0	7	1	23
-0.2 to 0.8	0	52	12	25	86	0	23	0	12	0	20	8	0	4	0	37	9	4	2	10	31	8	1	9	25	7	18	8	11	11	20	9	1	19	43	36	0	0	30	40	33	2	19	25	25	11	80	17	4	14	38	30	53	34	21	30	12	11	27	11	0	10	0	0	0	30	9	1	0	15	42	21	1	13	0	0	0	11	7	0	0	18	34	41	0	15	27	0	10	0	16	7	30	0	58	13	12	7	1	23
-0.1 to 0.9	0	63	25	25	96	0	29	1	12	12	20	14	25	26	0	37	9	48	2	10	31	10	7	9	25	7	44	13	12	58	20	14	1	20	44	42	0	0	55	40	33	9	36	49	37	65	80	51	4	21	38	56	87	34	42	44	12	25	43	22	0	50	0	0	0	30	22	1	0	46	42	39	2	35	30	19	5	19	21	7	6	32	34	41	0	15	27	0	17	24	35	7	40	38	58	26	22	7	1	29
0 to 1	0	24	25	25	55	0	29	1	12	12	20	14	25	22	0	0	9	48	2	9	31	10	7	9	15	7	36	5	12	58	19	14	1	20	34	32	0	0	39	27	32	7	31	42	32	54	45	40	1	21	38	51	87	0	41	44	12	15	43	12	0	40	0	0	0	15	22	1	0	33	0	38	2	28	30	19	5	19	14	7	6	14	9	11	0	6	0	0	17	24	28	7	16	38	20	26	22	7	1	6
0.1 to 1.1	0	11	24	16	33	0	29	1	0	12	20	6	25	22	0	0	0	44	1	0	31	2	7	9	15	7	26	5	12	47	19	14	0	20	10	17	0	0	25	0	24	7	26	33	18	54	12	34	1	21	37	26	57	0	21	14	0	15	43	12	0	40	0	0	0	15	13	0	0	33	0	18	1	22	30	19	5	19	14	7	6	14	9	11	0	0	0	0	17	24	28	7	10	38	19	26	22	0	0	6
0.2 to 1.2	0	11	24	16	33	0	29	1	0	12	20	6	25	22	0	0	0	44	1	0	31	2	7	9	15	7	26	5	12	47	19	14	0	20	10	17	0	0	25	0	24	7	26	33	18	54	12	34	1	21	37	26	57	0	21	14	0	15	43	12	0	40	0	0	0	15	13	0	0	33	0	18	1	22	30	19	5	19	14	7	6	14	9	11	0	0	0	0	17	24	28	7	10	38	19	26	22	0	0	6
0.3 to 1.3	0	11	24	23	33	0	32	6	0	12	28	6	33	22	0	0	0	44	1	2	31	4	7	13	15	8	26	8	12	49	19	14	10	20	10	20	0	0	30	0	24	7	26	33	18	61	24	35	9	24	37	29	57	0	30	23	0	21	43	12	4	40	10	0	0	29	19	7	0	33	0	18	10	22	30	19	5	19	16	15	10	24	9	14	0	0	0	7	17	24	30	7	10	39	23	31	22	0	4	6
0.4 to 1.4	0	11	24	23	33	0	32	6	0	12	28	6	33	22	0	0	0	44	1	2	31	4	7	13	15	8	26	8	12	49	19	14	10	20	10	20	0	0	30	0	24	7	26	33	18	61	24	35	9	24	37	29	57	0	30	23	0	21	43	12	4	40	10	0	0	29	19	7	0	33	0	18	10	22	30	19	5	19	16	15	10	24	9	14	0	0	0	7	17	24	30	7	10	39	23	31	22	0	4	6
0.5 to 1.5	0	11	24	23	33	0	32	6	0	12	28	6	33	22	0	0	0	44	1	2	31	4	7	13	15	8	26	8	12	49	19	14	10	20	10	20	0	0	30	0	24	7	26	33	18	61	24	35	9	24	37	29	57	0	30	23	0	21	43	12	4	40	10	0	0	29	19	7	0	33	0	18	10	22	30	19	5	19	16	15	10	24	9	14	0	0	0	7	17	24	30	7	10	39	23	31	22	0	4	6
0.6 to 1.6	0	11	37	23	33	0	41	6	0	12	41	7	33	23	12	0	15	44	1	13	31	4	10	24	15	18	26	8	14	49	20	14	10	20	22	20	0	0	30	0	24	7	32	33	18	69	38	35	9	32	38	32	58	0	30	23	0	21	43	12	10	41	11	17	0	29	48	15	12	34	0	18	10	23	30	19	34	34	21	15	10	24	9	14	0	0	0	7	17	35	30	7	10	39	32	31	23	0	4	6
0.7 to 1.7	0	11	37	23	34	6	42	6	0	48	41	7	35	23	12	0	15	44	1	13	31	13	21	24	15	18	41	8	14	78	20	14	36	57	27	30	1	0	30	0	29	7	32	33	20	74	56	56	9	34	38	39	58	1	30	23	0	21	43	21	10	41	11	17	9	29	48	15	12	34	17	19	10	23	41	21	36	34	21	38	10	24	23	14	0	15	0	7	17	58	30	32	15	39	32	31	32	0	19	6
0.8 to 1.8	0	11	26	7	11	6	19	6	0	48	21	7	35	23	12	0	15	44	0	13	0	13	20	15	0	11	41	8	3	78	1	5	36	38	18	19	1	0	30	0	5	7	23	24	14	74	44	56	8	20	1	39	35	1	30	23	0	20	16	20	10	41	11	17	9	14	48	15	12	32	17	19	10	23	41	21	36	23	21	38	10	24	14	3	0	15	0	7	7	58	21	25	15	39	13	18	20	0	19	6
0.9 to 1.9	0	0	13	7	1	6	13	5	0	36	21	1	10	1	12	0	15	0	0	13	0	11	14	15	0	11	15	3	2	31	1	0	36	37	17	13	1	0	5	0	5	0	6	0	2	20	44	22	8	13	1	13	1	1	9	9	0	6	0	9	10	1	11	17	9	14	35	15	12	1	17	1	9	1	11	2	31	15	7	31	4	10	14	3	0	15	0	7	0	34	2	25	5	1	13	5	10	0	19	0
1 to 2	0	0	13	7	1	6	13	5	0	36	21	1	10	1	12	0	15	0	0	13	0	11	14	15	0	11	15	3	2	31	1	0	36	37	17	13	1	0	5	0	5	0	6	0	2	20	44	22	8	13	1	13	1	1	9	9	0	6	0	9	10	1	11	17	9	14	35	15	12	1	17	1	9	1	11	2	31	15	7	31	4	10	14	3	0	15	0	7	0	34	2	25	5	1	13	5	10	0	19	0
1.1 to 2.1	0	0	13	7	1	6	13	5	0	36	21	1	10	1	12	0	15	0	0	13	0	11	14	15	0	11	15	3	2	31	1	0	36	37	17	13	1	0	5	0	5	0	6	0	2	20	44	22	8	13	1	13	1	1	9	9	0	6	0	9	10	1	11	17	9	14	35	15	12	1	17	1	9	1	11	2	31	15	7	31	4	10	14	3	0	15	0	7	0	34	2	25	5	1	13	5	10	0	19	0
1.2 to 2.2	0	0	13	7	1	6	13	5	0	36	21	1	10	1	12	0	15	0	0	13	0	11	14	15	0	11	15	3	2	31	1	0	36	37	17	13	1	0	5	0	5	0	6	0	2	20	44	22	8	13	1	13	1	1	9	9	0	6	0	9	10	1	11	17	9	14	35	15	12	1	17	1	9	1	11	2	31	15	7	31	4	10	14	3	0	15	0	7	0	34	2	25	5	1	13	5	10	0	19	0
1.3 to 2.3	0	0	13	0	2	7	10	0	14	49	13	1	2	1	15	0	22	2	7	11	10	10	14	11	15	15	15	0	21	29	1	0	26	47	17	10	23	0	0	9	30	2	6	5	9	13	32	38	0	23	1	12	1	18	16	0	19	0	0	9	6	2	2	17	26	0	48	8	29	1	17	1	0	1	11	15	46	15	5	23	0	2	14	2	0	20	0	26	0	34	9	26	15	15	9	0	10	0	16	0
1.4 to 2.4	16	0	19	0	2	8	36	18	14	49	13	11	14	1	15	11	22	11	14	11	10	10	14	46	21	29	15	0	28	30	1	2	28	47	17	10	23	0	12	9	30	3	11	13	9	13	32	38	0	23	1	33	1	18	22	9	19	0	26	9	6	22	23	17	26	7	48	8	29	1	17	1	0	29	11	17	46	15	16	38	0	2	38	2	9	20	0	26	1	34	9	26	21	15	15	0	10	0	16	1
