timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
-0.5 to 0.5	13	36	1	27	57	37	31	3	26	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25
-0.4 to 0.6	13	36	1	27	57	37	31	3	26	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25	28	40	48	1	56	40	26	42	40	3	72	35	14	43	24	50	52	25	25
-0.3 to 0.7	57	37	29	32	85	55	64	5	26	89	51	30	51	41	5	72	40	47	43	24	50	52	28	51	67	53	97	5	89	51	30	51	41	5	72	40	47	43	24	50	52	28	51	67	53	97	5	89	51	30	51	41	5	72	40	47	43	24	50	52	28	51	67	53	97	5	89	51	30	51	41	5	72	40	47	43	24	50	52	28	51	67	53	97	5	89	51	30	51	41	5	72	40	47	43	24	50	52	28	51
-0.2 to 0.8	115	39	79	53	132	103	77	40	33	102	104	80	81	89	12	90	51	106	93	31	55	66	30	142	125	64	125	54	102	104	80	81	89	12	90	51	106	93	31	55	66	30	142	125	64	125	54	102	104	80	81	89	12	90	51	106	93	31	55	66	30	142	125	64	125	54	102	104	80	81	89	12	90	51	106	93	31	55	66	30	142	125	64	125	54	102	104	80	81	89	12	90	51	106	93	31	55	66	30	142
-0.1 to 0.9	115	38	79	43	132	103	60	40	19	84	88	76	81	89	12	75	51	106	93	20	27	66	30	124	115	64	125	54	84	88	76	81	89	12	75	51	106	93	20	27	66	30	124	115	64	125	54	84	88	76	81	89	12	75	51	106	93	20	27	66	30	124	115	64	125	54	84	88	76	81	89	12	75	51	106	93	20	27	66	30	124	115	64	125	54	84	88	76	81	89	12	75	51	106	93	20	27	66	30	124
0 to 1	115	59	103	85	140	111	60	42	22	85	103	91	81	89	31	129	52	117	111	20	45	70	33	135	134	118	148	60	85	103	91	81	89	31	129	52	117	111	20	45	70	33	135	134	118	148	60	85	103	91	81	89	31	129	52	117	111	20	45	70	33	135	134	118	148	60	85	103	91	81	89	31	129	52	117	111	20	45	70	33	135	134	118	148	60	85	103	91	81	89	31	129	52	117	111	20	45	70	33	135
0.1 to 1.1	133	132	107	162	171	109	74	54	63	128	140	142	113	99	71	127	75	148	122	59	77	54	53	170	179	118	226	76	128	140	142	113	99	71	127	75	148	122	59	77	54	53	170	179	118	226	76	128	140	142	113	99	71	127	75	148	122	59	77	54	53	170	179	118	226	76	128	140	142	113	99	71	127	75	148	122	59	77	54	53	170	179	118	226	76	128	140	142	113	99	71	127	75	148	122	59	77	54	53	170
0.2 to 1.2	147	153	123	200	194	113	74	76	84	217	145	205	125	104	119	156	77	158	162	106	119	71	85	201	185	132	271	101	217	145	205	125	104	119	156	77	158	162	106	119	71	85	201	185	132	271	101	217	145	205	125	104	119	156	77	158	162	106	119	71	85	201	185	132	271	101	217	145	205	125	104	119	156	77	158	162	106	119	71	85	201	185	132	271	101	217	145	205	125	104	119	156	77	158	162	106	119	71	85	201
0.3 to 1.3	193	155	126	205	195	138	76	125	133	225	180	221	157	109	124	190	77	192	205	111	119	84	87	226	185	154	276	102	225	180	221	157	109	124	190	77	192	205	111	119	84	87	226	185	154	276	102	225	180	221	157	109	124	190	77	192	205	111	119	84	87	226	185	154	276	102	225	180	221	157	109	124	190	77	192	205	111	119	84	87	226	185	154	276	102	225	180	221	157	109	124	190	77	192	205	111	119	84	87	226
0.4 to 1.4	193	120	126	205	175	121	74	123	133	193	178	220	157	107	121	190	49	192	203	100	101	55	87	223	185	153	228	101	193	178	220	157	107	121	190	49	192	203	100	101	55	87	223	185	153	228	101	193	178	220	157	107	121	190	49	192	203	100	101	55	87	223	185	153	228	101	193	178	220	157	107	121	190	49	192	203	100	101	55	87	223	185	153	228	101	193	178	220	157	107	121	190	49	192	203	100	101	55	87	223
