,model,lnL,AIC,AICc,timing,tree.no,delta,w
62,OUMA ,70.9688441,-129.9376882,-129.0246447,NAMA 35.4481274307336,6,2.45045069999998,0.18233045232771
63,OUMV ,63.23403089,-114.4680618,-113.5550183,NAMV 50.7453585517332,6,17.9200771,7.97393182176106e-05
64,OUMVA ,73.35293234,-132.7058647,-131.4750954,NAMVA 35.8458284144556,6,0,0.620823028381011
65,DensDep,58.3414140514236,-112.682828102847,-112.557828102847,NA,6,18.917267297153,4.84323361673496e-05
66,fit_env,58.8808635968565,-111.761727193713,-111.509095614766,NA,6,19.965999785234,2.86685713904803e-05
67,EB,69.52635975,-131.0527195,-130.6271876,NA6,7,2.15901309999998,0.155805292100741
68,delta,47.8512731,-87.70254621,-87.27701429,NA6,7,45.50918641,6.01466821968132e-11
69,TS ,54.33264287,-102.6652857,-102.4099666,36,7,30.3762341,1.16222581443105e-07
70,TRC ,69.80751011,-131.6150202,-131.1849127,61,7,1.60128799999998,0.205916274175387
71,SRC ,63.22918002,-120.45836,-120.2030409,115,7,12.5831598,0.000849195158965168
72,OUS ,55.31128545,-100.6225709,-99.97740961,NAS 41.3152932562493,7,32.80879109,3.44403438346615e-08
73,OUMA ,72.8496221,-133.6992442,-132.7862007,NAMA 40.3585361533847,7,0,0.458570320233827
74,OUMV ,69.42375642,-126.8475128,-125.9344694,NAMV 40.3585361927135,7,6.8517313,0.0149132189893135
75,OUMVA ,72.97990539,-131.9598108,-130.7290416,NAMVA 40.3585467798522,7,2.05715910000001,0.163945507313408
76,DensDep,50.4998458618951,-96.9996917237901,-96.8746917237901,NA,7,35.9115089762099,7.29996621447533e-09
77,fit_env,53.1023088988461,-100.204617797692,-99.9519862187449,NA,7,32.8342144812551,3.40053194730137e-08
78,EB,69.95840225,-131.9168045,-131.4912726,NA7,8,0.975324699999987,0.273755600050804
79,delta,67.55024761,-127.1004952,-126.6749633,NA7,8,5.79163399999999,0.0246328541812818
80,TS ,60.26359952,-114.527199,-114.2718799,37,8,18.1947174,4.99136576999659e-05
81,TRC ,70.44835239,-132.8967048,-132.4665973,73,8,0,0.44581233401949
82,SRC ,65.10996823,-124.2199365,-123.9646173,116,8,8.50197999999999,0.00635287894755692
83,OUS ,61.613694,-113.227388,-112.5822267,NAS 39.419784474507,8,19.8843706,2.14444970936554e-05
84,OUMA ,71.45414344,-130.9082869,-129.9952434,NAMA 39.2306884855802,8,2.4713539,0.129569982130658
85,OUMV ,70.71870755,-129.4374151,-128.5243716,NAMV 52.8874977504671,8,3.94222569999999,0.0621024373976059
86,OUMVA ,71.80358677,-129.6071735,-128.3764043,NAMVA 39.2307365366406,8,4.090193,0.0576737186872988
87,DensDep,58.2370458065145,-112.474091613029,-112.349091613029,NA,8,20.117505686971,1.90849587197146e-05
