model,lnL,AIC,AICc,delta,w,tree.no,timing
SRC,68.18324925,-130.3664985,-130.1789985,1.013704307,0.187788461,37,7
TRC,70.64454544,-133.2890909,-132.9741303,0,0.954166303,38,5
EB,66.45087445,-124.9017489,-124.5892489,0.421512878,0.277739914,39,NA
TRC,66.66286121,-125.3257224,-125.0107618,0,0.342900923,39,4
SRC,65.44009061,-124.8801812,-124.6926812,0.318080568,0.292481457,39,7
TRC,67.87819051,-127.756381,-127.4414204,0,0.736326696,40,4
EB,67.75920196,-127.5184039,-127.2059039,0,0.348966702,41,NA
TRC,67.47057634,-126.9411527,-126.626192,0.57971187,0.261156691,41,4
SRC,66.39363814,-126.7872763,-126.5997763,0.606127633,0.257730043,41,8
OUMVA,2871.022715,-5728.045431,-5727.149431,0,1,42,NA
EB,65.46553253,-122.9310651,-122.6185651,1.320423269,0.335074134,43,NA
TRC,66.12697448,-124.253949,-123.9389883,0,0.648436083,43,4
EB,66.60758301,-125.215166,-124.902666,0,0.537687615,44,NA
TRC,66.385231,-124.770462,-124.4555014,0.447164645,0.429961396,44,4
EB,66.957534,-125.915068,-125.602568,0,0.641201321,45,NA
TRC,66.17545441,-124.3509088,-124.0359482,1.566619799,0.292959268,45,4
EB,66.2927809,-124.5855618,-124.2730618,0.120505258,0.476735846,46,NA
TRC,66.35426384,-124.7085277,-124.3935671,0,0.506343445,46,4
TRC,68.49167983,-128.9833597,-128.668399,0,0.899787845,47,5
TRC,67.71922968,-127.4384594,-127.1234987,0,0.680034139,48,5
SRC,65.70363775,-125.4072755,-125.2197755,1.903723219,0.262507956,48,5
EB,69.4687702,-130.9375404,-130.6250404,0.478576845,0.427559515,49,NA
TRC,69.70928893,-131.4185779,-131.1036172,0,0.54314804,49,5
EB,68.35368893,-128.7073779,-128.3948779,0,0.666563583,50,NA
TRC,67.53817669,-127.0763534,-126.7613927,1.633485114,0.294533567,50,5
TRC,68.98386988,-129.9677398,-129.6527791,0,0.955918277,51,5
OUMVA,4574.85235,-9135.7047,-9134.8087,0,1,52,NA
TRC,65.45976529,-122.9195306,-122.6045699,0,0.552710999,53,4
SRC,63.59270765,-121.1854153,-120.9979153,1.606654643,0.247524097,53,8
EB,64.30617734,-120.6123547,-120.2998547,0,0.459070938,54,NA
TRC,64.26088335,-120.5217667,-120.2068061,0.093048598,0.4382022,54,4
EB,66.93495196,-125.8699039,-125.5574039,0,0.403466078,55,NA
TRC,66.10227558,-124.2045512,-123.8895905,1.667813384,0.175245128,55,5
SRC,65.34634401,-124.692688,-124.505188,1.052215904,0.238408231,55,8
EB,67.23802656,-126.4760531,-126.1635531,0,0.727156395,56,NA
TRC,69.27449714,-130.5489943,-130.2340336,0,0.95945875,57,5
TRC,68.87101818,-129.7420364,-129.4270757,1.996873471,0.160623947,58,8
SRC,68.8057246,-131.6114492,-131.4239492,0,0.435939136,58,6
