,model,lnL,AIC,AICc,timing,tree.no,delta,w
77,BM,60.65753322,-115.3150664,-115.1290199,BM4,5,15.11032716,0.000366083
78,EB,57.55602104,-107.1120421,-106.7995421,EB4,5,23.43980496,5.69E-06
79,OU,60.65753322,-113.3150664,-113.0025664,OU4,5,17.23678066,0.000126423
80,kappa,59.54992501,-111.09985,-110.78735,kappa4,5,19.45199706,4.18E-05
81,delta,62.36922756,-116.7384551,-116.4259551,delta4,5,13.81339196,0.000700173
82,lambda,60.65753322,-113.3150664,-113.0025664,lambda4,5,17.23678066,0.000126423
83,TS,58.08300988,-110.1660198,-109.9785198,TS 114,5,20.26082726,2.79E-05
84,TRC,66.23876584,-124.4775317,-124.162571,TRC 41,5,6.076776063,0.033511212
84,JN,60.03115839,-114.0623168,-113.8762703,NA,5,4.290310229,0.056440174
85,SRC,61.47879803,-116.9575961,-116.7700961,SRC 52,5,13.46925096,0.000831639
85,NIG,60.91434339,-115.8286868,-115.6426403,NA,5,2.523940225,0.136505679
86,BMS,59.66899979,-109.3379996,-108.8655586,BMS 28.3888229106928,5,21.37378846,1.60E-05
87,OUS,57.37742511,-104.7548502,-104.2824093,OUS 43.2184089483826,5,25.95693776,1.62E-06
88,OUMA,60.73138306,-109.4627661,-108.7960995,OUMA 33.5224629833296,5,21.44324756,1.54E-05
89,OUMV,60.34600555,-108.6920111,-108.0253444,OUMV 31.7502319429771,5,22.21400266,1.05E-05
90,OUMVA,62.32881272,-110.6576254,-109.7616254,OUMVA 33.5223578363682,5,20.47772166,2.50E-05
91,DensDep,56.82505677,-109.6501135,-109.5578058,NA,5,20.68154122,2.26E-05
96,BM,50.7920389,-95.58407779,-95.39803128,BM5,6,37.66834271,5.10E-09
97,EB,65.46228394,-122.9245679,-122.6120679,EB5,6,10.45430609,0.004141548
98,OU,60.93349637,-113.8669927,-113.5544927,OU5,6,19.51188129,4.47E-05
99,kappa,60.93349627,-113.8669925,-113.5544925,kappa5,6,19.51188149,4.47E-05
100,delta,62.48509373,-116.9701875,-116.6576875,delta5,6,16.40868649,0.000210953
101,lambda,60.93349636,-113.8669927,-113.5544927,lambda5,6,19.51188129,4.47E-05
101,JN,59.43070971,-112.8614194,-112.6753729,NA,6,5.923088393,0.028108719
102,TS,51.96135321,-97.92270643,-97.73520643,TS 3,6,35.33116756,1.64E-08
102,NIG,56.33788468,-106.6757694,-106.4897228,NA,6,12.10873845,0.001275394
103,TRC,65.78764028,-123.5752806,-123.2603199,TRC 42,6,9.806054089,0.005727022
104,SRC,57.38857399,-108.777148,-108.589648,SRC 11,6,24.47672599,3.73E-06
105,BMS,52.54672184,-95.09344367,-94.62100273,BMS 26.9316478948005,6,38.44537126,3.46E-09
106,OUS,51.40142644,-92.80285288,-92.33041194,OUS 42.0642053373092,6,40.73596205,1.10E-09
107,OUMA,53.21384162,-94.42768324,-93.76101657,OUMA 30.1838991538897,6,39.30535742,2.25E-09
108,OUMV,52.54669348,-93.09338695,-92.42672028,OUMV 26.9317075615011,6,40.63965371,1.15E-09
