,model,lnL,AIC,AICc,timing,tree.no,delta,w
63,OUMA,58.24151238,-104.4830248,-103.8914755,OUMA 11.2854224356979,6,14.7069858,0.000363693615813785
64,OUMV,59.40018422,-106.8003684,-106.2088191,OUMV 12.3290789906795,6,12.3896422,0.00115861846792545
65,OUMVA,58.97931722,-103.9586344,-103.1643082,OUMVA 13.9000939823526,6,15.4341531,0.000252832736212033
66,fit_env,57.8707362671512,-109.741472534302,-109.575955292923,NA,6,9.022506007077,0.00623885340237554
67,EB,59.07042919,-110.1408584,-109.8630806,EB6,7,13.2291297,0.000898090596553851
68,delta,58.86610349,-109.732207,-109.4544292,delta6,7,13.6377811,0.000732120596892335
69,DensDep,58.7163524,-113.4327048,-113.350513,DensDep6,7,9.7416973,0.00513578072251735
70,TS,60.0712766,-114.1425532,-113.9758865,TS 73,7,9.1163238,0.00702109101540816
71,TRC,64.9260433,-121.8520866,-121.5723663,TRC 51,7,1.51984400000001,0.31329916139232
72,SRC,64.62943848,-123.258877,-123.0922103,SRC 52,7,0,0.669867894973196
73,OUS,59.16843002,-108.33686,-107.9172796,OUS 16.506736688655,7,15.1749307,0.000339464864670145
74,OUMA,60.09731436,-108.1946287,-107.6030794,OUMA 13.7489256772009,7,15.4891309,0.000290112955899168
75,OUMV,59.84240712,-107.6848142,-107.0932649,OUMV 11.546995880205,7,15.9989454,0.000224834168200575
76,OUMVA,59.71643522,-105.4328704,-104.6385442,OUMVA 13.056704007616,7,18.4536661,6.5891058552354e-05
77,fit_env,58.8758174436301,-111.75163488726,-111.586117645881,NA,7,11.506092654119,0.00212555765579015
78,EB,60.28265695,-112.5653139,-112.2875361,EB7,8,7.13671620000001,0.0179974854249516
79,delta,59.37211638,-110.7442328,-110.466455,delta7,8,8.95779730000001,0.00724050894011938
80,DensDep,58.71638089,-113.4327618,-113.35057,DensDep7,8,6.0736823,0.0306229276965397
81,TS,59.79154124,-113.5830825,-113.4164158,TS 61,8,6.00783650000001,0.0316479032864962
82,TRC,62.93873589,-117.8774718,-117.5977515,TRC 52,8,1.82650080000001,0.256041553463353
83,SRC,62.79545951,-119.590919,-119.4242523,SRC 53,8,0,0.638160710860053
84,OUS,59.25145643,-108.5029129,-108.0833324,OUS 15.2166818023921,8,11.3409199,0.00219928036387534
85,OUMA,59.29557229,-106.5911446,-105.9995953,OUMA 14.8965609193248,8,13.424657,0.000775894787991375
86,OUMV,59.8304903,-107.6609806,-107.0694313,OUMV 14.3889302556865,8,12.354821,0.0013246915627682
87,OUMVA,59.83289263,-105.6657853,-104.871459,OUMVA 14.3889305034007,8,14.5527933,0.000441398801460751
88,fit_env,58.9425073388007,-111.885014677601,-111.719497436222,NA,8,7.70475486377801,0.0135476448123922
89,EB,61.32493383,-114.6498677,-114.3720899,EB8,9,11.0928787,0.00272267929290238
90,delta,61.03950795,-114.0790159,-113.8012381,delta8,9,11.6637305,0.0020466217963342
91,DensDep,60.84926744,-117.6985349,-117.6163431,DensDep8,9,7.84862550000001,0.013787233146289
92,TS,62.33399642,-118.6679928,-118.5013262,TS 81,9,6.96364240000001,0.0214609408792339
93,TRC,65.8588953,-123.7177906,-123.4380703,TRC 61,9,2.0268983,0.253308124126896
94,SRC,65.81581766,-125.6316353,-125.4649686,SRC 62,9,0,0.69788600976625
95,OUS,61.54859205,-113.0971841,-112.6776037,OUS 17.3914916255615,9,12.7873649,0.00116692645369586
96,OUMA,61.55260834,-111.1052167,-110.5136674,OUMA 17.2370982433749,9,14.9513012,0.000395503825061085
97,OUMV,62.38548433,-112.7709687,-112.1794194,OUMV 15.6655694880395,9,13.2855492,0.000909628667570175
98,OUMVA,62.50314118,-111.0062824,-110.2119561,OUMVA 15.6655727571595,9,15.2530125,0.000340122146878209
99,fit_env,61.0549737119107,-116.109947423821,-115.944430182442,NA,9,9.520538417558,0.00597620989888883
100,EB,58.62913981,-109.2582796,-108.9805018,EB9,10,9.102194,0.00637880212255824
101,delta,58.42609335,-108.8521867,-108.5744089,delta9,10,9.5082869,0.00520663552516662
102,DensDep,58.37153377,-112.7430675,-112.6608758,DensDep9,10,5.42182,0.0401718830639975
103,TS,59.30317073,-112.6063415,-112.4396748,TS 74,10,5.64302099999999,0.0359657402149448
104,TRC,62.38233986,-116.7646797,-116.4849594,TRC 62,10,1.5977364,0.271838767675949
105,SRC,62.12468124,-118.2493625,-118.0826958,SRC 63,10,0,0.60430396499214
106,OUS,60.34083253,-110.6816651,-110.2620846,OUS 18.0949471250775,10,7.8206112,0.0121068538320784
107,OUMA,59.71839066,-107.4367813,-106.845232,OUMA 20.0519020278463,10,11.2374638,0.00219316438293139
108,OUMV,60.41778307,-108.8355661,-108.2440168,OUMV 18.9929151726938,10,9.838679,0.00441380806936803
109,OUMVA,60.5092915,-107.018583,-106.2242568,OUMVA 18.0948926891589,10,11.858439,0.00160778559374544
110,fit_env,58.4808359405159,-110.961671881032,-110.796154639652,NA,10,7.28654116034799,0.0158125945271206
111,EB,58.77586939,-109.5517388,-109.273961,EB10,11,11.2751164,0.00212756275427807
112,delta,58.6405119,-109.2810238,-109.003246,delta10,11,11.5458314,0.00185822099876023
113,DensDep,58.53619788,-113.0723958,-112.990204,DensDep10,11,7.5588734,0.013641253919243
114,TS,59.34608349,-112.692167,-112.5255003,TS 75,11,8.0235771,0.0108129741979412
115,TRC,63.91958277,-119.8391655,-119.5594453,TRC 53,11,0.989632100000009,0.364205849266433
116,SRC,63.35787204,-120.7157441,-120.5490774,SRC 54,11,0,0.597369158211818
117,OUS,59.68470271,-109.3694054,-108.949825,OUS 16.4683161893358,11,11.5992524,0.0018092439987082
118,OUMA,59.79632792,-107.5926558,-107.0011065,OUMA 15.0895799633652,11,13.5479709,0.000682870411108787
119,OUMV,60.52057817,-109.0411563,-108.4496071,OUMV 14.9981053709456,11,12.0994703,0.00140888713634555
120,OUMVA,61.26802876,-108.5360575,-107.7417313,OUMVA 15.0857592362923,11,12.8073461,0.000988924023104998
121,fit_env,58.5930325205945,-111.186065041189,-111.02054779981,NA,11,9.52852960019,0.00509505508225935
122,EB,62.14816485,-116.2963297,-116.0185519,EB11,12,8.5512413,0.00945238506171748
123,delta,60.47813971,-112.9562794,-112.6785016,delta11,12,11.8912916,0.00177933900021724
124,DensDep,59.53993673,-115.0798735,-114.9976817,DensDep11,12,9.57211150000001,0.00567364629816552
125,TS,61.53502079,-117.0700416,-116.9033749,TS 82,12,7.6664183,0.0147122222976837
126,TRC,65.55411583,-123.1082317,-122.8285114,TRC 63,12,1.74128180000001,0.284646154901903
127,SRC,65.36822995,-124.7364599,-124.5697932,SRC 64,12,0,0.679860579597275
128,OUS,60.01508693,-110.0301739,-109.6105934,OUS 4.19502364516025,12,14.9591998,0.000383769889213124
129,OUMA,61.26484319,-110.5296864,-109.9381371,OUMA 2.02236343265358,12,14.6316561,0.000452060027910779
130,OUMV,60.93593115,-109.8718623,-109.280313,OUMV 16.2515307049438,12,15.2894802,0.000325350455550757
131,OUMVA,60.87027099,-107.740542,-106.9462157,OUMVA 15.644677682984,12,17.6235775,0.000101276487440696
132,fit_env,59.8063491137372,-113.612698227474,-113.447180986095,NA,12,11.122612213905,0.00261321598292274
133,EB,60.87378767,-113.7475753,-113.4697976,EB12,13,7.2081812,0.0176743060722128
