model,lnL,AIC,AICc,delta,w,tree.no,timing
TRC,70.74659716,-133.4931943,-133.0630868,0.837182201,0.279140348,63,7
TRC,75.04149769,-142.0829954,-141.6528879,0,0.713722867,64,9
TRC,74.22369705,-140.4473941,-140.0172866,0.028365187,0.32087406,65,11
BMS,75.34540653,-140.6908131,-140.0456518,0,0.325457311,65,NA
OUMA,75.88340883,-139.7668177,-138.8537742,1.191877585,0.179341626,65,NA
TRC,76.42206094,-144.8441219,-144.4140144,0,0.971287103,66,9
TRC,72.90626054,-137.8125211,-137.3824136,0,0.760457908,67,8
TRC,75.10771205,-142.2154241,-141.7853166,0,0.753676476,68,11
TRC,73.92090888,-139.8418178,-139.4117102,0,0.92566043,69,8
TRC,72.89367794,-137.7873559,-137.3572484,0,0.883189746,70,8
TRC,72.83815484,-137.6763097,-137.2462022,1.70541622,0.221428197,71,8
OUMA,75.93233092,-139.8646618,-138.9516184,0,0.51946866,71,NA
TRC,75.31279697,-142.6255939,-142.1954864,0,0.855456773,72,10
TRC,75.5366054,-143.0732108,-142.6431033,0,0.94399334,73,11
TRC,72.94994838,-137.8998968,-137.4697892,0,0.88444592,74,11
TRC,76.13897196,-144.2779439,-143.8478364,0,0.627273415,75,11
TRC,74.57708598,-141.154172,-140.7240644,0,0.849991484,76,11
TRC,72.79053266,-137.5810653,-137.1509578,0,0.794820038,77,11
TRC,75.59635068,-143.1927014,-142.7625938,0,0.956371384,78,10
TRC,73.4196398,-138.8392796,-138.4091721,0,0.906849817,79,9
TRC,74.29298069,-140.5859614,-140.1558539,0,0.872768129,80,8
TRC,74.53205301,-141.064106,-140.6339985,0,0.905512163,81,10
TRC,76.23706318,-144.4741264,-144.0440188,0,0.785067969,82,10
TRC,73.38574911,-138.7714982,-138.3413907,0.388120502,0.382112154,83,9
OUMA,75.82127734,-139.6425547,-138.7295112,0,0.463948899,83,NA
TRC,71.67644259,-135.3528852,-134.9227777,0,0.684999063,84,7
TRC,77.69480511,-147.3896102,-146.9595027,0,0.8388095,85,11
TRC,72.3285379,-136.6570758,-136.2269683,0,0.791036811,86,7
TRC,72.22486064,-136.4497213,-136.0196137,0,0.696903171,87,7
TRC,71.41619577,-134.8323915,-134.402284,0,0.774057407,88,7
TRC,74.35844177,-140.7168835,-140.286776,0,0.974777216,89,7
OUMA,79.03172246,-146.0634449,-145.1504014,0,0.698381637,90,NA
TRC,75.30704009,-142.6140802,-142.1839727,0,0.494738476,91,5
OUMA,76.95743845,-141.9148769,-141.0018334,1.182139244,0.273953852,91,NA
TRC,75.34306278,-142.6861256,-142.256018,0,0.899083178,92,6
TRC,77.48563643,-146.9712729,-146.5411653,0,0.894516753,93,9
TRC,74.72199119,-141.4439824,-141.0138749,0,0.878756257,94,6
TRC,70.8386812,-133.6773624,-133.2472549,0,0.698237651,95,7
TRC,74.05041719,-140.1008344,-139.6707269,0,0.873433145,96,7
TRC,76.16630624,-144.3326125,-143.902505,0,0.929404387,97,8
TRC,76.18243176,-144.3648635,-143.934756,0,0.949305891,98,9
EB,72.75776636,-137.5155327,-137.0900008,0.716687518,0.189283419,99,NA
TRC,73.11132281,-138.2226456,-137.7925381,0.014150223,0.26894694,99,7
OUMA,75.3598659,-138.7197318,-137.8066883,0,0.270856517,99,NA
TRC,72.80950922,-137.6190184,-137.1889109,1.401393512,0.253672397,100,7
OUMA,75.75167396,-139.5033479,-138.5903044,0,0.511189528,100,NA
