model,lnL,AIC,AICc,timing,tree.no,delta,w,group
fit_env,56.33436269,-106.6687254,-106.4160938,NA,3,27.45712379,7.68E-07,agamidae
JN,68.02965132,-130.0593026,-129.8066711,NA,3,4.0665465,0.057259276,agamidae
kappa,69.96063628,-131.9212726,-131.4957407,NA2,3,2.3774769,0.133236328,agamidae
lambda,66.37592007,-124.7518401,-124.3263082,2,3,9.5469094,0.003696581,agamidae
NIG,63.96721655,-121.9344331,-121.6818015,NA,3,12.1914161,0.000985264,agamidae
OU,66.37592008,-124.7518402,-124.3263082,NA2,3,9.5469094,0.003696581,agamidae
OUMA,71.42776392,-130.8555278,-129.9424844,NAMA 45.0189039023192,3,3.9307332,0.061282621,agamidae
OUMV,65.85108118,-119.7021624,-118.7891189,NAMV 54.5986426472638,3,15.0840987,0.000231961,agamidae
OUMVA,71.77811322,-129.5562264,-128.3254572,NAMVA 45.018903882008,3,5.5477604,0.027302621,agamidae
OUS,59.53948969,-109.0789794,-108.4338181,NAS 45.1434690667692,3,25.4393995,1.31E-06,agamidae
SRC,64.74019871,-123.4803974,-123.2250783,10,3,10.6481393,0.00213143,agamidae
TRC,71.15166254,-134.3033251,-133.8732176,71,3,0,0.437406471,agamidae
TS,56.54135772,-107.0827154,-106.8273963,32,3,27.0458213,5.86E-07,agamidae
BM,64.64460754,-123.2892151,-123.0365835,NA3,4,6.2104025,0.012405775,agamidae
BMS,69.33237747,-128.6647549,-128.0195937,NAS 31.728129253271,4,1.2273923,0.14985485,agamidae
delta,65.5383457,-123.0766914,-122.6511595,NA3,4,6.5958265,0.010231284,agamidae
DensDep,49.66833547,-95.33667094,-95.21167094,NA,4,34.03531506,1.13E-08,agamidae
EB,67.31055851,-126.621117,-126.1955851,NA3,4,3.0514009,0.060199428,agamidae
fit_env,53.60689266,-101.2137853,-100.9611537,NA,4,28.12914476,4.89E-07,agamidae
JN,67.7498088,-129.4996176,-129.246986,NA,4,0,0.276818846,agamidae
kappa,68.17466044,-128.3493209,-127.923789,NA3,4,1.323197,0.142845669,agamidae
lambda,64.64460754,-121.2892151,-120.8636832,3,4,8.3833028,0.004185859,agamidae
NIG,62.26978237,-118.5395647,-118.2869332,NA,4,10.9600528,0.001154119,agamidae
OU,64.64460754,-121.2892151,-120.8636832,NA3,4,8.3833028,0.004185859,agamidae
OUMA,71.00167099,-130.003342,-129.0902985,NAMA 31.728112500004,4,0.1566875,0.255959584,agamidae
OUMV,67.34120814,-122.6824163,-121.7693728,NAMV 49.1625766023138,4,7.4776132,0.006583435,agamidae
OUMVA,64.56017572,-115.1203514,-113.8895822,NAMVA 34.4396810826677,4,15.3574038,0.000128049,agamidae
OUS,54.93861238,-99.87722477,-99.23206348,NAS 34.8843894223772,4,30.01492252,8.41E-08,agamidae
SRC,54.6792901,-103.3585802,-103.103261,112,4,26.143725,5.82E-07,agamidae
TRC,67.53419379,-127.0683876,-126.6382801,72,4,2.6087059,0.075114255,agamidae
TS,55.27249681,-104.5449936,-104.2896745,33,4,24.9573115,1.05E-06,agamidae
BM,68.49634194,-130.9926839,-130.7400523,NA4,5,8.8241062,0.007331127,agamidae
BMS,72.34458224,-134.6891645,-134.0440032,NAS 34.0201364767429,5,5.5201553,0.038248513,agamidae
delta,57.08812171,-106.1762434,-105.7507115,NA4,5,33.813447,2.75E-08,agamidae
DensDep,58.98113132,-113.9622626,-113.8372626,NA,5,25.7268959,1.57E-06,agamidae
EB,72.0695663,-136.1391326,-135.7136007,NA4,5,3.8505578,0.088137971,agamidae
fit_env,60.23307015,-114.4661403,-114.2135087,NA,5,25.35064978,2.24E-06,agamidae
JN,70.76597947,-135.5319589,-135.2793274,NA,5,4.2848311,0.0709352,agamidae
kappa,71.12008625,-134.2401725,-133.8146406,NA4,5,5.7495179,0.034104297,agamidae
lambda,68.496342,-128.992684,-128.5671521,4,5,10.9970064,0.002473611,agamidae
NIG,66.45206872,-126.9041374,-126.6515059,NA,5,12.9126526,0.000949192,agamidae
OU,68.496342,-128.992684,-128.5671521,NA4,5,10.9970064,0.002473611,agamidae
OUMA,74.44958871,-136.8991774,-135.9861339,NAMA 34.01996908186,5,3.5780246,0.101005001,agamidae
OUMV,72.76864725,-133.5372945,-132.624251,NAMV 49.3261324979006,5,6.9399075,0.01880699,agamidae
OUMVA,74.31598874,-134.6319775,-133.4012082,NAMVA 34.0200271424373,5,6.1629503,0.027735334,agamidae
OUS,60.17090179,-110.3418036,-109.6966423,NAS 36.89772117405,5,29.8675162,1.98E-07,agamidae
SRC,67.59725767,-129.1945153,-128.9391962,113,5,10.6249623,0.002979338,agamidae
TRC,73.99713301,-139.994266,-139.5641585,8,5,0,0.604367427,agamidae
TS,61.98184156,-117.9636831,-117.708364,34,5,21.8557945,1.08E-05,agamidae
BM,65.64947782,-125.2989556,-125.0463241,NA5,6,8.9986614,0.006669033,agamidae
BMS,68.44462628,-126.8892526,-126.2440913,NAS 35.4482374983166,6,7.8008942,0.012138211,agamidae
delta,66.36289912,-124.7257982,-124.3002663,NA5,6,9.7447192,0.004592598,agamidae
DensDep,58.34141405,-112.6828281,-112.5578281,NA,6,21.4871574,1.29E-05,agamidae
EB,67.95691224,-127.9138245,-127.4882926,NA5,6,6.5566929,0.022611511,agamidae
fit_env,58.8808636,-111.7617272,-111.5090956,NA,6,19.96599979,2.87E-05,agamidae
JN,70.14880855,-134.2976171,-134.0449855,NA,6,0,0.599925536,agamidae
kappa,69.50597516,-131.0119503,-130.5864184,NA5,6,3.4585671,0.106433672,agamidae
lambda,65.64947782,-123.2989556,-122.8734237,5,6,11.1715618,0.002250212,agamidae
NIG,63.29276397,-120.5855279,-120.3328964,NA,6,13.7120891,0.000631764,agamidae
OU,65.64947783,-123.2989557,-122.8734237,NA5,6,11.1715618,0.002250212,agamidae
OUMA,70.9688441,-129.9376882,-129.0246447,NAMA 35.4481274307336,6,5.0203408,0.048746585,agamidae
OUMV,63.23403089,-114.4680618,-113.5550183,NAMV 50.7453585517332,6,20.4899672,2.13E-05,agamidae
OUMVA,73.35293234,-132.7058647,-131.4750954,NAMVA 35.8458284144556,6,2.5698901,0.16597887,agamidae
OUS,59.23969308,-108.4793862,-107.8342249,NAS 37.5845207347244,6,26.2107606,1.22E-06,agamidae
SRC,63.32956896,-120.6591379,-120.4038188,114,6,13.6411667,0.000654569,agamidae
TRC,68.04713676,-128.0942735,-127.664166,5,6,6.3808195,0.024689938,agamidae
TS,60.42158397,-114.8431679,-114.5878488,35,6,19.4571367,3.57E-05,agamidae
BM,65.25243269,-124.5048654,-124.2522338,NA6,7,9.3206307,0.003667215,agamidae
BMS,69.42358088,-128.8471618,-128.2020005,NAS 40.3585869563002,7,5.370864,0.026425141,agamidae
delta,47.8512731,-87.70254621,-87.27701429,NA6,7,46.29585021,3.43E-11,agamidae
DensDep,50.49984586,-96.99969172,-96.87469172,NA,7,36.69817278,4.16E-09,agamidae
EB,69.52635975,-131.0527195,-130.6271876,NA6,7,2.9456769,0.088846435,agamidae
fit_env,53.1023089,-100.2046178,-99.95198622,NA,7,32.83421448,3.40E-08,agamidae
JN,65.66444449,-125.328889,-125.0762574,NA,7,8.4966071,0.005536953,agamidae
kappa,70.99919822,-133.9983964,-133.5728645,NA6,7,0,0.387512413,agamidae
lambda,65.25243269,-122.5048654,-122.0793335,6,7,11.493531,0.001237363,agamidae
NIG,65.0837822,-124.1675644,-123.9149328,NA,7,9.6579317,0.003098078,agamidae
OU,65.2524327,-122.5048654,-122.0793335,NA6,7,11.493531,0.001237363,agamidae
OUMA,72.8496221,-133.6992442,-132.7862007,NAMA 40.3585361533847,7,0.7866638,0.261495214,agamidae
OUMV,69.42375642,-126.8475128,-125.9344694,NAMV 40.3585361927135,7,7.6383951,0.008504116,agamidae
OUMVA,72.97990539,-131.9598108,-130.7290416,NAMVA 40.3585467798522,7,2.8438229,0.093488313,agamidae
OUS,55.31128545,-100.6225709,-99.97740961,NAS 41.3152932562493,7,33.59545489,1.96E-08,agamidae
SRC,63.22918002,-120.45836,-120.2030409,115,7,13.3698236,0.000484245,agamidae
TRC,69.80751011,-131.6150202,-131.1849127,61,7,2.3879518,0.11742173,agamidae
TS,54.33264287,-102.6652857,-102.4099666,36,7,31.1628979,6.63E-08,agamidae
BM,66.19956552,-126.399131,-126.1464995,NA7,8,6.3200978,0.016370091,agamidae
BMS,56.74577051,-103.491541,-102.8463797,NAS 60.902283601877,8,29.6202176,1.43E-07,agamidae
delta,67.55024761,-127.1004952,-126.6749633,NA7,8,5.791634,0.0213209,agamidae
DensDep,58.23704581,-112.4740916,-112.3490916,NA,8,20.1175057,1.65E-05,agamidae
EB,69.95840225,-131.9168045,-131.4912726,NA7,8,0.9753247,0.236948419,agamidae
fit_env,58.6293793,-111.2587586,-111.006127,NA,8,21.46047028,9.75E-06,agamidae
JN,65.04592189,-124.0918438,-123.8392122,NA,8,8.6273851,0.005164521,agamidae
kappa,69.09897048,-130.197941,-129.772409,NA7,8,2.6941883,0.100324575,agamidae
lambda,66.19956553,-124.3991311,-123.9735992,7,8,8.4929981,0.005523467,agamidae
NIG,63.60902627,-121.2180525,-120.965421,NA,8,11.5011763,0.001227423,agamidae
OU,66.19956553,-124.3991311,-123.9735992,NA7,8,8.4929981,0.005523467,agamidae
OUMA,71.45414344,-130.9082869,-129.9952434,NAMA 39.2306884855802,8,2.4713539,0.112148948,agamidae
OUMV,70.71870755,-129.4374151,-128.5243716,NAMV 52.8874977504671,8,3.9422257,0.053752597,agamidae
OUMVA,71.80358677,-129.6071735,-128.3764043,NAMVA 39.2307365366406,8,4.090193,0.049919331,agamidae
OUS,61.613694,-113.227388,-112.5822267,NAS 39.419784474507,8,19.8843706,1.86E-05,agamidae
SRC,65.10996823,-124.2199365,-123.9646173,116,8,8.50198,0.005498717,agamidae
TRC,70.44835239,-132.8967048,-132.4665973,73,8,0,0.38587166,agamidae
TS,60.26359952,-114.527199,-114.2718799,37,8,18.1947174,4.32E-05,agamidae
BM,65.8146219,-125.6292438,-125.3766122,NA8,9,10.6207281,0.003251022,agamidae
BMS,71.41454749,-132.829095,-132.1839337,NAS 29.3539561374562,9,3.8134066,0.097771205,agamidae
delta,66.56599429,-125.1319886,-124.7064567,NA8,9,11.2908836,0.002325399,agamidae
DensDep,57.88168552,-111.763371,-111.638371,NA,9,24.3589693,3.38E-06,agamidae
EB,68.65903023,-129.3180605,-128.8925286,NA8,9,7.1048117,0.018857818,agamidae
fit_env,59.25303481,-112.5060696,-112.253438,NA,9,23.74390226,5.81E-06,agamidae
JN,67.05928414,-128.1185683,-127.8659367,NA,9,8.1314036,0.011286774,agamidae
kappa,70.24650284,-132.4930057,-132.0674738,NA8,9,3.9298665,0.092240579,agamidae
lambda,65.81462191,-123.6292438,-123.2037119,8,9,12.7936284,0.001096934,agamidae
NIG,59.88071786,-113.7614357,-113.5088041,NA,9,22.4885362,8.61E-06,agamidae
OU,65.81462191,-123.6292438,-123.2037119,NA8,9,12.7936284,0.001096934,agamidae
OUMA,72.15827581,-132.3165516,-131.4035081,NAMA 29.3534198703173,9,4.5938322,0.066182581,agamidae
OUMV,71.4162551,-130.8325102,-129.9194667,NAMV 29.3534198742005,9,6.0778736,0.031512888,agamidae
OUMVA,71.70465669,-129.4093134,-128.1785441,NAMVA 29.0127553407891,9,7.8187962,0.013196284,agamidae
