model,lnL,AIC,AICc,weight$delta,weight$w,tree.no,timing
TRC,63.30368,-118.60736,-118.3276397,1.235831964,0.338353629,50,5
SRC,62.86506917,-119.7301383,-119.5634717,0,0.627665618,50,6
SRC,66.68006042,-127.3601208,-127.1934542,0,0.723549501,51,8
TRC,64.82168702,-121.643374,-121.3636538,1.778633801,0.284102461,52,5
SRC,64.65447712,-123.3089542,-123.1422876,0,0.691353903,52,6
TRC,63.54941849,-119.098837,-118.8191167,0,0.540639125,53,4
SRC,62.242592,-118.485184,-118.3185173,0.500599372,0.42092401,53,5
TRC,62.45489604,-116.9097921,-116.6300718,1.390890791,0.295302576,54,4
SRC,62.09381463,-118.1876293,-118.0209626,0,0.591964051,54,5
TRC,64.34060469,-120.6812094,-120.4014891,1.426682469,0.304895028,55,6
SRC,63.99741911,-121.9948382,-121.8281716,0,0.622229366,55,6
TRC,64.34178824,-120.6835765,-120.4038562,0.809629658,0.389117471,56,5
SRC,63.69007626,-121.3801525,-121.2134859,0,0.583296777,56,6
TRC,64.98528229,-121.9705646,-121.6908443,0.990361712,0.374265367,57,7
SRC,64.42393634,-122.8478727,-122.681206,0,0.614092728,57,8
TRC,63.85318722,-119.7063744,-119.4266542,1.852442463,0.252120429,58,5
SRC,63.72288164,-121.4457633,-121.2790966,0,0.636591459,58,5
TRC,64.51531103,-121.0306221,-120.7509018,1.51662643,0.285732258,59,6
SRC,64.21709744,-122.4341949,-122.2675282,0,0.609944778,59,6
SRC,62.05110612,-118.1022122,-117.9355456,0,0.614045318,60,5
TRC,61.14289633,-114.2857927,-114.0060724,1.626504179,0.259791536,61,5
SRC,60.89962161,-115.7992432,-115.6325766,0,0.58588974,61,6
TRC,64.18820179,-120.3764036,-120.0966833,1.490007273,0.241029078,62,5
SRC,63.13992864,-120.2798573,-120.1131906,1.473499946,0.243026683,62,5
BMS,66.00313549,-122.006271,-121.5866906,0,0.507715482,62,NA
SRC,62.89681887,-119.7936377,-119.6269711,0,0.570472136,63,5
SRC,61.98346405,-117.9669281,-117.8002614,0,0.592320242,64,5
TRC,64.66197131,-121.3239426,-121.0442223,0.247957265,0.465232233,65,5
SRC,63.72942314,-121.4588463,-121.2921796,0,0.526639019,65,5
TRC,62.85516473,-117.7103295,-117.4306092,1.940666065,0.201315162,66,5
SRC,62.76897096,-119.5379419,-119.3712752,0,0.531235106,66,5
TRC,63.23564757,-118.4712951,-118.1915749,0.337268337,0.451215982,67,5
SRC,62.34775494,-118.6955099,-118.5288432,0,0.534098506,67,6
TRC,62.19315607,-116.3863121,-116.1065919,1.89344115,0.260298642,68,6
SRC,62.08334984,-118.1666997,-118.000033,0,0.67085309,68,6
TRC,63.01861414,-118.0372283,-117.757508,0.353344232,0.433553406,69,5
SRC,62.13875945,-118.2775189,-118.1108522,0,0.517333173,69,5
SRC,64.04329279,-122.0865856,-121.9199189,0,0.659330361,70,7
TRC,61.12254254,-114.2450851,-113.9653648,0.674543495,0.39018112,71,5
SRC,60.40328748,-114.806575,-114.6399083,0,0.546690478,71,5
TRC,62.55887039,-117.1177408,-116.8380205,1.885125228,0.247819565,72,5
SRC,62.4449062,-118.8898124,-118.7231457,0,0.636041324,72,5
TRC,63.19230679,-118.3846136,-118.1048933,1.518799329,0.296876883,73,5
SRC,62.89517965,-119.7903593,-119.6236926,0,0.634423798,73,5
TRC,63.63396214,-119.2679243,-118.988204,0.67280959,0.392550939,74,5
SRC,62.91384013,-119.8276803,-119.6610136,0,0.549534252,74,5
TRC,65.68836636,-123.3767327,-123.0970124,1.014162903,0.370313333,75,6
SRC,65.138921,-124.277842,-124.1111753,0,0.614882347,75,6
TRC,63.25293036,-118.5058607,-118.2261404,1.177895125,0.333361115,76,6
SRC,62.78535112,-119.5707022,-119.4040356,0,0.600747008,76,6
TRC,64.31888947,-120.6377789,-120.3580587,0,0.63831962,77,5
SRC,62.65394139,-119.3078828,-119.1412161,1.21684254,0.347379506,77,7
TRC,63.26989772,-118.5397954,-118.2600752,1.082630514,0.365369987,78,6
SRC,62.75468617,-119.5093723,-119.3427057,0,0.627802584,78,6
SRC,66.58865301,-127.177306,-127.0106394,0,0.734006671,79,6
TRC,63.49648662,-118.9929732,-118.713253,1.707507329,0.219464151,80,4
SRC,63.29371347,-120.5874269,-120.4207603,0,0.51539962,80,4
TRC,62.4898899,-116.9797798,-116.7000595,0.713774029,0.378367657,81,4
SRC,61.79025011,-117.5805002,-117.4138336,0,0.540639866,81,4
TRC,62.41833708,-116.8366742,-116.5569539,1.86010407,0.238819325,82,6
SRC,62.2918623,-118.5837246,-118.4170579,0,0.605321267,82,6
TRC,64.98301003,-121.9660201,-121.6862998,1.465923786,0.314838227,83,6
SRC,64.65944512,-123.3188902,-123.1522236,0,0.655252616,83,6
TRC,65.90789071,-123.8157814,-123.5360611,1.713956893,0.28975686,84,5
SRC,65.70834235,-125.4166847,-125.250018,0,0.68267616,84,6
TRC,64.97493065,-121.9498613,-121.670141,1.890777972,0.277367161,85,5
SRC,64.86379283,-123.7275857,-123.560919,0,0.713891582,85,5
TRC,62.84942529,-117.6988506,-117.4191303,1.981458787,0.229460851,86,6
SRC,62.78362788,-119.5672558,-119.4005891,0,0.61798354,86,6
TRC,65.92012086,-123.8402417,-123.5605214,0,0.498663614,87,5
SRC,64.84308157,-123.6861631,-123.5194965,0.041024971,0.48853898,87,5
TRC,63.43590917,-118.8718183,-118.5920981,1.618346184,0.277126962,88,6
SRC,63.18855546,-120.3771109,-120.2104442,0,0.622440996,88,7
SRC,61.91069152,-117.821383,-117.6547164,0,0.640052926,89,5
OUMA,3230.993802,-6449.987604,-6449.396055,0,1,90,NA
TRC,60.15280923,-112.3056185,-112.0258982,1.58476856,0.234657401,91,5
SRC,59.8886667,-113.7773334,-113.6106667,0,0.518277526,91,5
SRC,65.97389749,-125.947795,-125.7811283,0,0.707212191,92,6
SRC,66.80686999,-127.61374,-127.4470733,0,0.647881492,93,5
TRC,64.00251878,-120.0050376,-119.7253173,0.829026611,0.356710674,94,6
SRC,63.36050528,-120.7210106,-120.5543439,0,0.539929362,94,6
TRC,62.12824494,-116.2564899,-115.9767696,1.285036618,0.298336761,95,6
SRC,61.71423644,-117.4284729,-117.2618062,0,0.567216592,95,6
SRC,65.62689995,-125.2537999,-125.0871332,0,0.67637827,96,8
TRC,63.79353421,-119.5870684,-119.3073481,0.491915963,0.433316146,97,5
SRC,62.98296538,-119.9659308,-119.7992641,0,0.554144549,97,5
TRC,67.474136,-126.948272,-126.6685517,1.760618467,0.272292617,98,5
SRC,67.29791843,-128.5958369,-128.4291702,0,0.656673223,98,5
TRC,61.55161902,-115.103238,-114.8235178,0,0.540950051,99,7
SRC,60.26294315,-114.5258863,-114.3592196,0.464298126,0.428880311,99,7
TRC,64.28308738,-120.5661748,-120.2864545,1.409247683,0.322992404,100,5
SRC,63.93118441,-121.8623688,-121.6957022,0,0.653441262,100,5
