group,model,lnL,AIC,AICc,timing,tree.no,delta,w
agamidae,DensDep,58.34141405,-112.6828281,-112.5578281,NA,6,18.9172673,4.84E-05
agamidae,fit_env,58.8808636,-111.7617272,-111.5090956,NA,6,19.96599979,2.87E-05
agamidae,EB,69.52635975,-131.0527195,-130.6271876,NA6,7,2.1590131,0.155805292
agamidae,delta,47.8512731,-87.70254621,-87.27701429,NA6,7,45.50918641,6.01E-11
agamidae,TS,54.33264287,-102.6652857,-102.4099666,36,7,30.3762341,1.16E-07
agamidae,TRC,69.80751011,-131.6150202,-131.1849127,61,7,1.601288,0.205916274
agamidae,SRC,63.22918002,-120.45836,-120.2030409,115,7,12.5831598,0.000849195
agamidae,OUS,55.31128545,-100.6225709,-99.97740961,NAS 41.3152932562493,7,32.80879109,3.44E-08
agamidae,OUMA,72.8496221,-133.6992442,-132.7862007,NAMA 40.3585361533847,7,0,0.45857032
agamidae,OUMV,69.42375642,-126.8475128,-125.9344694,NAMV 40.3585361927135,7,6.8517313,0.014913219
agamidae,OUMVA,72.97990539,-131.9598108,-130.7290416,NAMVA 40.3585467798522,7,2.0571591,0.163945507
agamidae,DensDep,50.49984586,-96.99969172,-96.87469172,NA,7,35.91150898,7.30E-09
agamidae,fit_env,53.1023089,-100.2046178,-99.95198622,NA,7,32.83421448,3.40E-08
agamidae,EB,69.95840225,-131.9168045,-131.4912726,NA7,8,0.9753247,0.2737556
agamidae,delta,67.55024761,-127.1004952,-126.6749633,NA7,8,5.791634,0.024632854
agamidae,TS,60.26359952,-114.527199,-114.2718799,37,8,18.1947174,4.99E-05
agamidae,TRC,70.44835239,-132.8967048,-132.4665973,73,8,0,0.445812334
agamidae,SRC,65.10996823,-124.2199365,-123.9646173,116,8,8.50198,0.006352879
agamidae,OUS,61.613694,-113.227388,-112.5822267,NAS 39.419784474507,8,19.8843706,2.14E-05
agamidae,OUMA,71.45414344,-130.9082869,-129.9952434,NAMA 39.2306884855802,8,2.4713539,0.129569982
agamidae,OUMV,70.71870755,-129.4374151,-128.5243716,NAMV 52.8874977504671,8,3.9422257,0.062102437
agamidae,OUMVA,71.80358677,-129.6071735,-128.3764043,NAMVA 39.2307365366406,8,4.090193,0.057673719
agamidae,DensDep,58.23704581,-112.4740916,-112.3490916,NA,8,20.11750569,1.91E-05
agamidae,fit_env,58.6293793,-111.2587586,-111.006127,NA,8,21.46047028,9.75E-06
agamidae,EB,68.65903023,-129.3180605,-128.8925286,NA8,9,7.1048117,0.023829003
agamidae,delta,66.56599429,-125.1319886,-124.7064567,NA8,9,11.2908836,0.002938407
agamidae,TS,61.1387019,-116.2774038,-116.0220847,38,9,19.9752556,3.82E-05
agamidae,TRC,72.21372393,-136.4274479,-135.9973403,10,9,0,0.831564878
agamidae,SRC,64.80303412,-123.6060682,-123.3507491,117,9,12.6465912,0.001491845
agamidae,OUS,60.84957059,-111.6991412,-111.0539799,NAS 31.7127629999981,9,24.9433604,3.19E-06
agamidae,OUMA,72.15827581,-132.3165516,-131.4035081,NAMA 29.3534198703173,9,4.5938322,0.08362924
agamidae,OUMV,71.4162551,-130.8325102,-129.9194667,NAMV 29.3534198742005,9,6.0778736,0.039820128
agamidae,OUMVA,71.70465669,-129.4093134,-128.1785441,NAMVA 29.0127553407891,9,7.8187962,0.01667501
agamidae,DensDep,57.88168552,-111.763371,-111.638371,NA,9,24.35896926,4.27E-06
agamidae,fit_env,59.25303481,-112.5060696,-112.253438,NA,9,23.74390226,5.81E-06
agamidae,EB,73.64708607,-139.2941721,-138.8686402,NA9,10,5.6001535,0.055289556
agamidae,delta,71.06871378,-134.1374276,-133.7118956,NA9,10,10.7568981,0.004196336
agamidae,TS,60.70627679,-115.4125536,-115.1572344,39,10,29.3115593,3.92E-07
agamidae,TRC,76.44945063,-144.8989013,-144.4687937,101,10,0,0.909287002
agamidae,SRC,67.3664422,-128.7328844,-128.4775652,118,10,15.9912285,0.000306373
agamidae,OUS,58.03037761,-106.0607552,-105.4155939,NAS 36.2568233694462,10,39.0531998,3.01E-09
agamidae,OUMA,75.02674124,-138.0534825,-137.140439,NAMA 32.6997071645179,10,7.3283547,0.023300701
agamidae,OUMV,71.11890615,-130.2378123,-129.3247688,NAMV 49.9616328235351,10,15.1440249,0.00046797
agamidae,OUMVA,75.00445551,-136.008911,-134.7781418,NAMVA 32.6998296054032,10,9.6906519,0.007151591
agamidae,DensDep,56.23539149,-108.470783,-108.345783,NA,10,36.12301073,1.30E-08
agamidae,fit_env,58.90030418,-111.8006084,-111.5479768,NA,10,32.92081692,6.46E-08
agamidae,EB,74.77247341,-141.5449468,-141.1194149,NA10,11,6.7615203,0.032174316
agamidae,delta,70.7546296,-133.5092592,-133.0837273,NA10,11,14.7972079,0.000578871
agamidae,TS,49.51483485,-93.02966969,-92.77435054,310,11,55.10658466,1.02E-12
agamidae,TRC,78.15552137,-148.3110427,-147.8809352,81,11,0,0.945703066
agamidae,SRC,65.04541435,-124.0908287,-123.8355095,119,11,24.0454257,5.68E-06
agamidae,OUS,50.17138369,-90.34276738,-89.69760609,NAS 41.9630578621445,11,58.18332911,2.19E-13
agamidae,OUMA,76.33759623,-140.6751925,-139.762149,NAMA 40.2462456910519,11,8.1187862,0.016322353
agamidae,OUMV,69.71785323,-127.4357065,-126.522663,NAMV 53.0500218277915,11,21.3582722,2.18E-05
agamidae,OUMVA,76.35141686,-138.7028337,-137.4720645,NAMVA 40.2462508210664,11,10.4088707,0.005193944
agamidae,DensDep,43.82279545,-83.64559089,-83.52059089,NA,11,64.36034431,1.00E-14
agamidae,fit_env,48.96610279,-91.93220558,-91.67957401,NA,11,56.20136119,5.91E-13
agamidae,EB,71.78903623,-135.5780725,-135.1525406,NA11,12,7.299447,0.024418716
agamidae,delta,68.78514429,-129.5702886,-129.1447567,NA11,12,13.3072309,0.001211014
agamidae,TS,58.92212893,-111.8442579,-111.5889387,311,12,30.8630489,1.87E-07
agamidae,TRC,75.44104756,-142.8820951,-142.4519876,82,12,0,0.93924219
agamidae,SRC,69.00368913,-132.0073783,-131.7520591,8,12,10.6999285,0.004459823
agamidae,OUS,57.92962402,-105.859248,-105.2140868,NAS 42.5623000760573,12,37.2379008,7.70E-09
agamidae,OUMA,73.97932163,-135.9586433,-135.0455998,NAMA 40.3835144516873,12,7.4063878,0.023147331
agamidae,OUMV,67.81377437,-123.6275487,-122.7145053,NAMV 52.0519648694629,12,19.7374823,4.86E-05
agamidae,OUMVA,74.00746202,-134.014924,-132.7841548,NAMVA 40.3835145273124,12,9.6678328,0.007471957
agamidae,DensDep,57.00919211,-110.0183842,-109.8933842,NA,12,32.55860338,7.99E-08
agamidae,fit_env,57.97542377,-109.9508475,-109.698216,NA,12,32.75377164,7.25E-08
agamidae,EB,71.15953158,-134.3190632,-133.8935313,NA12,13,5.0107595,0.052738791
agamidae,delta,68.5706973,-129.1413946,-128.7158627,NA12,13,10.1884281,0.003961081
