model,lnL,AIC,AICc,delta,w,tree.no,timing
src 9,217.7766597,-429.5533194,-429.4228846,1.226569269,0.280018351,72,9
trc 10,222.1921653,-436.3843305,-436.1657513,1.704495178,0.248399533,73,10
src 10,222.0003406,-438.0006812,-437.8702464,0,0.582474879,73,10
trc 10,220.4492637,-432.8985274,-432.6799482,0.525679295,0.400567142,74,10
src 10,219.6680311,-433.3360622,-433.2056275,0,0.520984893,74,10
EB,217.4154371,-426.8308741,-426.6134828,0,0.477637746,75,NA
trc 10,217.0019347,-426.0038693,-425.7852901,0.828192723,0.315688583,75,10
src 11,215.4227534,-424.8455069,-424.7150721,1.898410715,0.184868957,75,11
EB,214.809383,-421.6187659,-421.4013746,1.000686114,0.266642077,76,NA
trc 11,215.31032,-422.62064,-422.4020607,0,0.439769304,76,11
src 11,213.8076701,-421.6153401,-421.4849053,0.917155405,0.278014307,76,11
EB,216.5307631,-425.0615261,-424.8441348,0.714197653,0.351187597,77,NA
trc 9,216.8884559,-425.7769117,-425.5583325,0,0.501909273,77,9
EB,211.1570211,-414.3140422,-414.0966509,1.48589959,0.273705717,78,NA
trc 10,211.9005649,-415.8011297,-415.5825505,0,0.575364239,78,10
EB,208.8915028,-409.7830056,-409.5656143,0,0.544906787,79,NA
EB,211.9924405,-415.9848811,-415.7674898,0,0.5345878,80,NA
EB,213.5892969,-419.1785939,-418.9612026,0,0.32428355,81,NA
src 11,212.415567,-418.831134,-418.7006992,0.260503373,0.284680244,81,11
BM,213.7982204,-417.5964408,-417.2685719,1.692630656,0.139115282,81,6.889822947
trc 10,212.6382063,-417.2764126,-417.0578333,0.450119933,0.391042522,82,10
src 11,211.819194,-417.638388,-417.5079532,0,0.489740801,82,11
trc 10,216.1020143,-424.2040286,-423.9854493,1.29744424,0.268367889,83,10
src 10,215.7066642,-425.4133284,-425.2828936,0,0.513413148,83,10
trc 11,219.8299158,-431.6598316,-431.4412523,1.897732367,0.258169987,84,11
src 11,219.7347097,-433.4694195,-433.3389847,0,0.666796175,84,11
trc 11,222.9851143,-437.9702286,-437.7516493,0,0.891185422,85,11
trc 11,219.7745379,-431.5490758,-431.3304965,0,0.86784962,86,11
trc 11,219.6565316,-431.3130633,-431.094484,0,0.623215452,87,11
src 11,218.0091123,-430.0182246,-429.8877898,1.206694211,0.340885002,87,11
trc 10,220.9450375,-433.8900749,-433.6714957,0.416814395,0.430669795,88,10
src 10,220.1093724,-434.2187448,-434.0883101,0,0.530462282,88,10
trc 11,222.8713786,-437.7427572,-437.524178,0.90338128,0.374457788,89,11
src 11,222.278997,-438.5579941,-438.4275593,0,0.588260408,89,11
trc 11,224.5674433,-441.1348866,-440.9163074,0,0.645509783,90,11
src 11,222.7398337,-439.4796673,-439.3492325,1.567074814,0.294860676,90,11
EB,222.4589798,-436.9179597,-436.7005683,1.965806986,0.18324105,91,NA
trc 10,223.0103028,-438.0206056,-437.8020264,0.864348974,0.317834721,91,10
src 10,222.3984051,-438.7968101,-438.6663753,0,0.489657413,91,10
trc 9,220.9962598,-433.9925196,-433.7739404,0.925340435,0.350742583,92,9
src 9,220.4148578,-434.8297156,-434.6992808,0,0.557087762,92,9
trc 9,218.6351986,-429.2703972,-429.0518179,0,0.783703599,93,9
EB,220.977517,-433.955034,-433.7376427,0,0.864578343,94,NA
EB,217.4741977,-426.9483954,-426.7310041,0,0.570308806,95,NA
trc 9,216.9334812,-425.8669624,-425.6483832,1.082620908,0.33191122,95,9
trc 9,211.1586672,-414.3173343,-414.0987551,0,0.519619267,96,9
src 10,209.5614388,-413.1228775,-412.9924427,1.106312346,0.298849527,96,10
trc 11,220.1346311,-432.2692622,-432.0506829,0.804794158,0.375934178,97,11
src 11,219.4929559,-432.9859119,-432.8554771,0,0.562173853,97,11
src 11,224.787968,-443.5759361,-443.4455013,0,0.695114575,98,11
trc 10,220.4351541,-432.8703081,-432.6517289,0,0.75530755,99,10
trc 11,224.5739275,-441.1478549,-440.9292757,0.882001028,0.391393512,100,11
src 11,223.9708558,-441.9417115,-441.8112767,0,0.608327867,100,11
