,model,lnL,AIC,AICc,timing,tree.no,delta,w
1259,kappa,68.63462379,-129.2692476,-128.8437157,NA77,78,13.9188781,0.000908198
1260,delta,48.23368177,-88.46736355,-88.04183163,NA77,78,54.72076217,1.25E-12
1261,lambda,67.37825186,-126.7565037,-126.3309718,77,78,16.431622,0.00025855
1262,TS,56.67851455,-107.3570291,-107.1017099,377,78,35.6608839,1.73E-08
1263,TRC,75.59635068,-143.1927014,-142.7625938,108,78,0,0.956371383
1264,SRC,64.9835291,-123.9670582,-123.7117391,1143,78,19.0508547,6.98E-05
1265,BMS,70.41864961,-130.8372992,-130.1921379,NAS 31.5535201633498,78,12.5704559,0.001782324
1266,OUS,53.99207477,-97.98414954,-97.33898825,NAS 33.7042146502112,78,45.42360555,1.31E-10
1267,OUMA,72.9431893,-133.8863786,-132.9733351,NAMA 31.5533982697284,78,9.7892587,0.00716005
1268,OUMV,70.41919677,-128.8383935,-127.9253501,NAMV 31.5533983380385,78,14.8372437,0.000573799
1269,OUMVA,72.94369833,-131.8873967,-130.6566274,NAMVA 31.553474565303,78,12.1059664,0.002248275
1270,DensDep,50.49672825,-96.9934565,-96.8684565,NA,78,45.8941373,1.03E-10
1271,BM,67.25217811,-128.5043562,-128.2517246,NA78,79,10.1574475,0.005647666
1272,EB,70.41760856,-132.8352171,-132.4096852,NA78,79,5.9994869,0.045160494
1273,OU,67.25217812,-126.5043562,-126.0788243,NA78,79,12.3303478,0.001905591
1274,kappa,68.01942514,-128.0388503,-127.6133184,NA78,79,10.7958537,0.004104317
1275,delta,68.30629773,-128.6125955,-128.1870636,NA78,79,10.2221085,0.005467994
1276,lambda,67.25217812,-126.5043562,-126.0788243,78,79,12.3303478,0.001905591
1277,TS,62.17259988,-118.3451998,-118.0898806,378,79,20.3192915,3.51E-05
1278,TRC,73.4196398,-138.8392796,-138.4091721,912,79,0,0.906840094
1279,SRC,67.72625159,-129.4525032,-129.197184,910,79,9.2119881,0.009060933
1280,BMS,58.61875106,-107.2375021,-106.5923408,NAS 61.3815702313955,79,31.8168313,1.12E-07
1281,OUS,64.04381893,-118.0876379,-117.4424766,NAS 37.1353245219132,79,20.9666955,2.54E-05
1282,OUMA,71.56787443,-131.1357489,-130.2227054,NAMA 37.6138553552972,79,8.1864667,0.015130806
1283,OUMV,66.65678124,-121.3135625,-120.400519,NAMV 50.3666702906875,79,18.0086531,0.00011143
1284,OUMVA,71.53470422,-129.0694084,-127.8386392,NAMVA 37.6138545940339,79,10.5705329,0.004593764
1285,DensDep,59.92172694,-115.8434539,-115.7184539,NA,79,22.6907182,1.07E-05
1286,BM,67.93571505,-129.8714301,-129.6187985,NA79,80,10.5370554,0.004495793
1287,EB,71.16012902,-134.320258,-133.8947261,NA79,80,6.2611278,0.038133986
1288,OU,67.93571507,-127.8714301,-127.4458982,NA79,80,12.7099557,0.001516935
1289,kappa,70.47724776,-132.9544955,-132.5289636,NA79,80,7.6268903,0.019263742
1290,delta,68.78684733,-129.5736947,-129.1481627,NA79,80,11.0076912,0.003553113
1291,lambda,67.93571507,-127.8714301,-127.4458982,79,80,12.7099557,0.001516935
1292,TS,58.40826606,-110.8165321,-110.561213,379,80,29.5946409,3.27E-07
1293,TRC,74.29298069,-140.5859614,-140.1558539,821,80,0,0.872768037
1294,SRC,66.1456571,-126.2913142,-126.0359951,1016,80,14.1198588,0.000749567
1295,BMS,71.32264313,-132.6452863,-132.000125,NAS 37.9952645788748,80,8.1557289,0.014787842
1296,OUS,58.08861327,-106.1772265,-105.5320653,NAS 38.9355146127063,80,34.6237886,2.65E-08
1297,OUMA,73.26194621,-134.5238924,-133.6108489,NAMA 37.9952604457798,80,6.545005,0.033087889
1298,OUMV,61.16970494,-110.3394099,-109.4263664,NAMV 53.9091976306196,80,30.7294875,1.85E-07
1299,OUMVA,73.2367,-132.4734,-131.2426308,NAMVA 37.9953678371392,80,8.9132231,0.010125513
1300,DensDep,56.24215489,-108.4843098,-108.3593098,NA,80,31.7965441,1.09E-07
1301,BM,53.46460535,-100.9292107,-100.6765791,NA80,81,39.9574194,1.91E-09
1302,EB,70.77703921,-133.5540784,-133.1285465,NA80,81,7.505452,0.021237627
1303,OU,67.19147926,-126.3829585,-125.9574266,NA80,81,14.6765719,0.000588731
1304,kappa,68.35495077,-128.7099015,-128.2843696,NA80,81,12.3496289,0.001884544
1305,delta,68.2861458,-128.5722916,-128.1467597,NA80,81,12.4872388,0.001759239
1306,lambda,67.19147926,-126.3829585,-125.9574266,80,81,14.6765719,0.000588731
1307,TS,61.22833723,-116.4566745,-116.2013553,380,81,24.4326432,4.48E-06
1308,TRC,74.53205301,-141.064106,-140.6339985,109,81,0,0.905511924
1309,SRC,66.67313947,-127.3462789,-127.0909598,1017,81,13.5430387,0.001037673
1310,BMS,72.56340838,-135.1268168,-134.4816555,NAS 32.201879014207,81,6.152343,0.04177629
1311,OUS,61.37343287,-112.7468657,-112.1017044,NAS 33.5182053029557,81,28.5322941,5.77E-07
1312,OUMA,72.92501873,-133.8500375,-132.936994,NAMA 32.2018696606905,81,7.6970045,0.019297937
1313,OUMV,61.67300553,-111.3460111,-110.4329676,NAMV 50.3319279084574,81,30.2010309,2.51E-07
1314,OUMVA,72.96629319,-131.9325864,-130.7018172,NAMVA 32.2018696291167,81,9.9321813,0.00631173
1315,DensDep,57.32954037,-110.6590807,-110.5340807,NA,81,30.0999178,2.63E-07
1316,BM,70.11368644,-134.2273729,-133.9747413,NA81,82,10.0692775,0.005109521
1317,EB,61.03351254,-114.0670251,-113.6414932,NA81,82,30.4025256,1.96E-07
1318,OU,70.11368644,-132.2273729,-131.801841,NA81,82,12.2421778,0.001724014
1319,kappa,70.52057008,-133.0411402,-132.6156083,NA81,82,11.4284105,0.002589692
1320,delta,70.88254554,-133.7650911,-133.3395592,NA81,82,10.7044596,0.003719222
1321,lambda,70.11368644,-132.2273729,-131.801841,81,82,12.2421778,0.001724014
1322,TS,65.2245373,-124.4490746,-124.1937554,381,82,19.8502634,3.84E-05
1323,TRC,76.23706318,-144.4741264,-144.0440188,1010,82,0,0.785047595
1324,SRC,73.352305,-140.70461,-140.4492909,1144,82,3.5947279,0.13011002
1325,BMS,62.00142262,-114.0028452,-113.357684,NAS 60.8131159181984,82,30.6863348,1.70E-07
1326,OUS,64.0783736,-118.1567472,-117.5115859,NAS 43.0078765500569,82,26.5324329,1.36E-06
1327,OUMA,74.45317188,-136.9063438,-135.9933003,NAMA 40.7983913971685,82,8.0507185,0.014018601
1328,OUMV,73.72233879,-135.4446776,-134.5316341,NAMV 53.6389194872735,82,9.5123847,0.006750064
1329,OUMVA,76.86634691,-139.7326938,-138.5019246,NAMVA 52.1976121368228,82,5.5420942,0.049141173
1330,DensDep,63.76697325,-123.5339465,-123.4089465,NA,82,20.6350723,2.59E-05
1331,BM,68.92824078,-131.8564816,-131.60385,NA82,83,7.1256612,0.01314139
1332,EB,71.46487505,-134.9297501,-134.5042182,NA82,83,4.225293,0.056033563
1333,OU,68.92824079,-129.8564816,-129.4309497,NA82,83,9.2985615,0.004434064
1334,kappa,70.49256531,-132.9851306,-132.5595987,NA82,83,6.1699125,0.021192368
1335,delta,69.83257707,-131.6651541,-131.2396222,NA82,83,7.489889,0.010953432
1336,lambda,68.92824079,-129.8564816,-129.4309497,82,83,9.2985615,0.004434064
1337,TS,66.54283408,-127.0856682,-126.830349,382,83,11.8991622,0.001208061
1338,TRC,73.38574911,-138.7714982,-138.3413907,913,83,0.3881205,0.381662652
1339,SRC,69.69983028,-133.3996606,-133.1443414,911,83,5.5851698,0.028389304
1340,BMS,70.85513458,-131.7102692,-131.0651079,NAS 38.7709981659349,83,7.6644033,0.010038179
