,lnL,AIC,AICc,weight$delta,weight$w,tree.no
TRC 33,214.365575629154,-420.731151258308,-420.556478769225,0,0.456445531336248,26
TRC 91,210.810322632275,-413.620645264551,-413.445972775468,1.79126931405261,0.182441100506668,27
SRC 92,210.670794957804,-415.341589915607,-415.237242089521,0,0.446778095636716,27
OUMA 48.2412621580751,6386.41239531314,-12760.8247906263,-12760.4563695736,0,1,28
EB14,208.461066206014,-408.922132412029,-408.748219368551,1.02656027053831,0.241704860640869,29
TRC 72,208.974726064086,-409.949452128172,-409.774779639089,0,0.40383142781422,29
EB15,206.317248365367,-404.634496730734,-404.460583687255,1.6595737689774,0.180316832577345,30
TRC 84,207.147414972658,-406.294829945316,-406.120157456233,0,0.413435852352213,30
SRC 112,205.257499933722,-404.514999867445,-404.410652041358,1.70950541487474,0.175870804761046,30
TRC 85,208.876442310395,-409.75288462079,-409.578212131707,0,0.832844584116009,31
TRC 86,205.819190981327,-403.638381962655,-403.463709473572,0.350132114964538,0.308302799568545,32
OUMV 50.0734289540921,208.091131320584,-404.182262641168,-403.813841588536,0,0.367288804929415,32
delta11,281.224570129328,-554.449140258656,-554.275227215178,0,1,33
EB16,207.662841645075,-407.32568329015,-407.151770246672,0,0.503855612093837,34
TRC 45,206.928804719835,-405.857609439671,-405.682936950588,1.46883329608397,0.241742496368294,34
EB17,204.635063644322,-401.270127288643,-401.096214245165,0,0.380983845045389,35
TRC 87,204.580262880044,-401.160525760089,-400.985853271006,0.110360974159221,0.360530473980714,35
BM3,201.659072299512,-397.318144599025,-397.214248495129,1.8812503138048,0.117216631434776,36
EB18,203.272604166219,-398.545208332439,-398.371295288961,0.724203519973059,0.209044504697219,36
TRC 61,203.635085649008,-399.270171298017,-399.095498808934,0,0.300260049372793,36
EB19,205.624189779626,-403.248379559252,-403.074466515774,1.97435134438149,0.143547352787356,37
TRC 73,205.734120373437,-403.468240746874,-403.293568257791,1.75524960236436,0.160166810274398,37
SRC 113,205.576582843121,-405.153165686243,-405.048817860156,0,0.385230030443599,37
BM4,204.136779497547,-402.273558995094,-402.169662891198,1.40457629931677,0.154185700448671,38
EB20,205.874076116997,-403.748152233993,-403.574239190515,0,0.311203137032378,38
delta12,205.435008188563,-402.870016377126,-402.696103333648,0.878135856867061,0.200613053211971,38
TRC 74,205.243121760434,-402.486243520868,-402.311571031785,1.2626681587297,0.165523270689228,38
EB21,210.390840361684,-412.781680723369,-412.60776767989,0.902149789354041,0.149035008254164,39
DensDep6,208.085858430168,-412.171716860336,-412.119992722405,1.38992474683977,0.116780225557938,39
TRC 51,210.772359476727,-413.544718953455,-413.370046464372,0.139871004872532,0.21818004694034,39
SRC 62,209.807132647666,-413.614265295331,-413.509917469244,0,0.233984793394127,39
TRC 62,210.018723256959,-412.037446513918,-411.862774024835,1.159109530291,0.221328106815635,40
SRC 8,209.563115690606,-413.126231381213,-413.021883555126,0,0.395124542190444,40
TRC 88,206.278055651506,-404.556111303013,-404.38143881393,0,0.386860643091352,41
SRC 102,205.06870970887,-404.13741941774,-404.033071591653,0.348367222276863,0.325018115790546,41
TRC 34,209.710528174264,-411.421056348529,-411.246383859446,0,0.759490542551515,42
SRC 114,208.724445233737,-411.448890467474,-411.344542641387,0,0.421664543271859,43
EB22,209.746374718699,-411.492749437397,-411.318836393919,0,0.419684460593252,44
TRC 46,209.742576822375,-411.485153644751,-411.310481155668,0.00835523825134032,0.417934835941246,44
DensDep7,208.851210479717,-413.702420959434,-413.650696821503,0,0.298282936162851,45
TRC 35,210.570430826306,-413.140861652613,-412.96618916353,0.684507657973313,0.21183097253294,45
SRC 3,209.374208670363,-412.748417340726,-412.644069514639,1.006627306864,0.180319239511035,45
TRC 89,207.043506336687,-406.087012673374,-405.912340184291,0,0.447959874073836,46
SRC 81,205.063584074987,-404.127168149974,-404.022820323887,1.88951986040382,0.174154655891127,46
EB23,204.968574133124,-401.937148266248,-401.76323522277,0.920284401270123,0.366571816432957,47
TRC 75,205.429096056561,-402.858192113123,-402.68351962404,0,0.580759456535662,47
delta13,422.332306139299,-836.664612278598,-836.49069923512,0,1,48
EB24,209.874365331192,-411.748730662385,-411.574817618907,1.16964452455272,0.239554288653001,49
TRC 36,210.459567316271,-412.919134632542,-412.744462143459,0,0.429921368666944,49
TRC 76,204.045123782916,-400.090247565832,-399.915575076749,0,0.301395930811507,50
SRC 82,202.724126605586,-399.448253211171,-399.343905385084,0.571669691665136,0.226464893949866,50
delta14,541.876170970019,-1075.75234194004,-1075.57842889656,0,1,51
EB25,207.25178631501,-406.50357263002,-406.329659586541,1.70167358728804,0.11342338450565,52
DensDep8,205.34717089994,-406.694341799879,-406.642617661948,1.388715511881,0.132635746160581,52
TRC 810,207.475659660895,-406.95131932179,-406.776646832707,1.25468634112241,0.141828872226635,52
SRC 93,207.067840499958,-408.135680999916,-408.031333173829,0,0.265592817914114,52
EB26,209.407858754347,-410.815717508695,-410.641804465217,0,0.502612127189663,53
TRC 77,210.293391626891,-412.586783253783,-412.4121107647,0,0.510833218020503,54
SRC 72,208.765761660185,-411.53152332037,-411.427175494283,0.984935270416088,0.312178618191103,54
DensDep9,208.603268017704,-413.206536035408,-413.154811897477,0,0.264403509149867,55
TS 113,209.253757882382,-412.507515764763,-412.403167938676,0.75164395880023,0.181572386995161,55
TRC 47,209.835979494141,-411.671958988283,-411.4972864992,1.6575253982769,0.115435701834441,55
SRC 115,209.248371694662,-412.496743389323,-412.392395563237,0.762416334240186,0.180597033111595,55
TRC 63,217.678097801805,-427.356195603609,-427.181523114526,0,0.706898725071193,56
EB27,211.426216712108,-414.852433424216,-414.678520380738,0.0702009105393131,0.284803379441148,57
TRC 52,211.46169689018,-414.92339378036,-414.748721291277,0,0.294977623450398,57
SRC 5,209.876434654898,-413.752869309796,-413.648521483709,1.10019980756829,0.170170282411789,57
TRC 48,211.040977155916,-414.081954311832,-413.907281822749,0,0.805389777047935,58
TRC 78,213.387273310364,-418.774546620727,-418.599874131644,0,0.590809152990188,59
TRC 64,214.082852142653,-420.165704285307,-419.991031796224,1.34482046120894,0.183986955334177,60
SRC 63,213.72010004176,-421.44020008352,-421.335852257433,0,0.360421828302564,60
EB28,213.016968348936,-418.033936697873,-417.860023654394,0.283444936395028,0.391036975773359,61
TRC 49,213.159070539936,-418.318141079872,-418.143468590789,0,0.450575020739115,61
EB29,210.86927327187,-413.738546543741,-413.564633500262,0.345195299758302,0.35280615616487,62
TRC 37,211.042250644552,-414.084501289104,-413.909828800021,0,0.419270553230149,62
EB30,212.220778414255,-416.441556828509,-416.267643785031,0.740803410076524,0.3859125045861,63
TRC 811,212.591559842095,-417.183119684191,-417.008447195108,0,0.558923368363952,63
TRC 65,212.326093237982,-416.652186475965,-416.477513986882,0,0.662436833905425,64
TRC 66,214.398788475165,-420.797576950331,-420.622904461248,0,0.739334936995998,65
TRC 67,213.45530546015,-418.910610920299,-418.735938431216,0,0.79706457045014,66
TRC 79,213.650536290052,-419.301072580104,-419.126400091021,1.8481230027129,0.196867323006677,67
SRC 73,213.539435459911,-421.078870919821,-420.974523093734,0,0.496007732303134,67
EB31,210.095707098932,-412.191414197864,-412.017501154385,0,0.27793909964195,68
TRC 38,209.780579934935,-411.56115986987,-411.386487380787,0.631013773598397,0.202734073368453,68
SRC 94,208.607922810525,-411.21584562105,-411.111497794963,0.906003359422073,0.176690628896738,68
EB32,208.239798031829,-408.479596063658,-408.30568302018,0.460257888193212,0.277620170637976,69
TRC 710,208.470306698728,-408.940613397456,-408.765940908373,0,0.349457807137804,69
SRC 103,206.650286799607,-407.300573599214,-407.196225773127,1.56971513524661,0.15941729534565,69
EB33,208.634351110708,-409.268702221415,-409.094789177937,1.13432317090212,0.327790410986789,70
TRC 410,209.201892418961,-410.403784837922,-410.229112348839,0,0.577978111570181,70
EB34,209.308398219422,-410.616796438843,-410.442883395365,0.949899091668044,0.30223987678982,71
TRC 92,209.783727488058,-411.567454976116,-411.392782487033,0,0.485981492514926,71
TRC 812,205.396387021761,-402.792774043521,-402.618101554438,0,0.86015084008902,72
TRC 111,204.258547103075,-400.517094206149,-400.342421717066,1.92459241087579,0.139293307618045,73
SRC 116,204.185680977015,-402.371361954029,-402.267014127942,0,0.364628140870928,73
TRC 53,203.162088016919,-398.324176033837,-398.149503544754,0,0.785391522455385,74
TRC 68,203.429382453382,-398.858764906763,-398.68409241768,0,0.704726352105324,75
BM5,202.281317898961,-398.562635797922,-398.458739694026,0,0.284407266666546,76
EB35,203.293254083539,-398.586508167079,-398.412595123601,0.046144570425156,0.277920461559968,76
TRC 411,202.560000678754,-397.120001357507,-396.945328868424,1.5134108256014,0.133446658429594,76
TRC 711,205.537771170297,-403.075542340593,-402.90086985151,0,0.54260243395551,77
BM6,206.856805014738,-407.713610029476,-407.609713925579,1.63962897104881,0.107941540302273,78
EB36,208.531080299983,-409.062160599965,-408.888247556487,0.361095340141219,0.204559032749613,78
delta15,207.744753166305,-407.489506332609,-407.315593289131,1.93374960749736,0.0931796610547888,78
TRC 813,208.712007692856,-409.424015385711,-409.249342896628,0,0.245035787816839,78
SRC 83,207.441104354861,-408.882208709722,-408.777860883635,0.471482012993704,0.193574657726659,78
TRC 712,210.119902270134,-412.239804540268,-412.065132051185,0,0.63043350402315,79
EB37,210.752372833432,-413.504745666863,-413.330832623385,0,0.320945063684099,80
TRC 54,209.877529080896,-411.755058161793,-411.58038567271,1.75044695067544,0.133759912071362,80
SRC 117,208.940778108196,-411.881556216392,-411.777208390305,1.55362423307997,0.147592906308759,80
TRC 69,209.092390090601,-410.184780181202,-410.010107692119,0,0.443760419871669,81
SRC 118,207.736631541391,-409.473263082783,-409.368915256696,0.641192435423079,0.322044135912713,81
EB38,209.749602869623,-411.499205739245,-411.325292695767,1.7449001648987,0.137015800789417,82
DensDep10,207.60816664291,-411.21633328582,-411.164609147889,1.90558371277643,0.126438304719104,82
TS 114,208.588996272124,-411.177992544249,-411.073644718162,1.99654814250397,0.120816427392583,82
TRC 112,209.748413186816,-411.496826373632,-411.322153884549,1.74803897611639,0.136800936072206,82
SRC 119,209.587270343376,-413.174540686753,-413.070192860666,0,0.327846770413649,82
EB39,213.202591656162,-418.405183312324,-418.231270268846,0,0.480763396180042,83
TRC 814,213.002577443148,-418.005154886295,-417.830482397212,0.400787871633895,0.393460748591684,83
DensDep11,212.896360376943,-421.792720753885,-421.740996615954,0,0.289025683254309,84
TS 115,213.36999643285,-420.7399928657,-420.635645039613,1.10535157634143,0.166307713037535,84
SRC 1110,213.656718567718,-421.313437135437,-421.20908930935,0.531907306604751,0.221530859484655,84
EB40,211.227155510479,-414.454311020958,-414.28039797748,0.21306029579199,0.258407576808821,85
TRC 815,211.275223061595,-414.55044612319,-414.375773634107,0.117684639164679,0.271029025905833,85
SRC 95,210.298903049679,-414.597806099359,-414.493458273272,0,0.287455550517858,85
EB41,212.896266557042,-417.792533114085,-417.618620070606,0,0.386815189837966,86
TRC 610,212.891866510627,-417.783733021255,-417.609060532172,0.00955953843464385,0.384970714096575,86
EB42,211.431242937081,-414.862485874162,-414.688572830684,0,0.377536907449199,87
TRC 55,211.41106091577,-414.82212183154,-414.647449342457,0.0411234882269014,0.369853354495579,87
TRC 611,215.299187335865,-422.598374671729,-422.423702182646,0,0.379393655600351,88
SRC 64,214.157269352269,-422.314538704538,-422.210190878451,0.213511304195606,0.340978246867497,88
EB43,204.988792052584,-401.977584105167,-401.803671061689,1.16483829169994,0.315577004672362,89
TRC 713,205.571590921236,-403.143181842472,-402.968509353389,0,0.564997818406883,89
BM7,204.989824332269,-403.979648664538,-403.875752560642,0.225031082261012,0.145647127777295,90
EB44,205.833074862283,-403.666149724566,-403.492236681088,0.608546961815023,0.120232674956677,90
delta16,205.556445237585,-403.11289047517,-402.938977431691,1.1618062112114,0.0911766832891873,90
DensDep12,203.836348136648,-403.672696273296,-403.620972135365,0.479811507537477,0.128226284470255,90
TS 3,204.132096293368,-402.264192586737,-402.15984476065,1.94093888225302,0.0617585769095068,90
TRC 39,206.137728065993,-404.275456131986,-404.100783642903,0,0.162992193057862,90
SRC 104,204.857190302293,-403.714380604585,-403.610032778499,0.490750864404163,0.12752684253253,90
delta17,537.431195667558,-1066.86239133512,-1066.68847829164,0,1,91
TRC 714,207.450534908278,-406.901069816556,-406.726397327473,0,0.724364688510935,92
TRC 816,212.674638626958,-417.349277253916,-417.174604764833,0,0.686616646312578,93
TRC 817,214.015179167086,-420.030358334172,-419.855685845089,0,0.581530781623168,94
SRC 84,212.557089134283,-419.114178268566,-419.009830442479,0.845855402610312,0.380975932605164,94
BM8,206.855845869249,-407.711691738498,-407.607795634602,1.2656696174202,0.143735392054498,95
EB45,208.236601710815,-408.473203421629,-408.299290378151,0.574174873871414,0.203104662663146,95
delta18,207.809191431318,-407.618382862636,-407.444469819158,1.4289954328645,0.132464031248884,95
TRC 310,208.524068870553,-409.048137741105,-408.873465252022,0,0.270645233757548,95
TRC 56,207.952951721616,-407.905903443232,-407.731230954149,0,0.414281780247275,96
EB46,210.472000021206,-412.944000042412,-412.770086998934,0.801107139320948,0.195547206232046,97
TRC 412,210.872933313669,-413.745866627337,-413.571194138254,0,0.291883685050073,97
SRC 74,209.430976560208,-412.861953120415,-412.757605294328,0.813588843926084,0.194330625199679,97
delta19,468.147381663324,-928.294763326648,-928.120850283169,0,1,98
EB47,210.954968067483,-413.909936134967,-413.736023091488,1.20427690747971,0.150095063390469,99
TRC 57,211.497697555799,-414.995395111598,-414.820722622515,0.119577376453151,0.258170085750201,99
SRC 65,210.522323912527,-415.044647825055,-414.940299998968,0,0.274076510561257,99
TRC 715,211.654686773506,-415.309373547013,-415.13470105793,0,0.488910524247048,100
